Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,03.05.2017,5100917011,"£2,442.20",Manchester Van Hire Ltd,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,03.05.2017,5100917022,"£34,482.53",Manchester Van Hire Ltd,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,03.05.2017,5100917010,"£28,325.82",Manchester Van Hire Ltd,,,
Manchester City Council,Corporate Services,Training and Development,03.05.2017,5100916866,"£2,203.76",GMCA,,,
Manchester City Council,Corporate Services,Seconded Employees,03.05.2017,5100916866,"£106,257.32",GMCA,,,
Manchester City Council,Corporate Services,Seconded Employees,03.05.2017,5100916866,"£1,386.59",GMCA,,,
Manchester City Council,Adult Social Care,Security,03.05.2017,5100916948,£775.00,WADSWORTH SECURITY PRODUCTS,,,
Manchester City Council,Insurance Fund,All Risks Insurance Premium,03.05.2017,5100917134,"-£132,633.75",Aon Artscope,,,
Manchester City Council,Adult Social Care,Training and Development,03.05.2017,5100916810,-£536.00,Edexcel,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,03.05.2017,5100916901,"£6,274.40",Specialist Vehicle rental,,,
Manchester City Council,Regeneration Finance,Legal Fees,03.05.2017,1905570284,"£2,156.25",Forbes Solicitors,,,
Manchester City Council,Insurance Fund,Insurance,03.05.2017,1905573067,"£8,350.00",Forbes Solicitors,,,
Manchester City Council,Chief Executives,Legal Fees,03.05.2017,5100917070,"£3,000.00",Redacted Personal Information,,,
Manchester City Council,Chief Executives,Legal Fees,03.05.2017,5100917033,£750.00,Redacted Personal Information,,,
Manchester City Council,Chief Executives,Agency staff provision,03.05.2017,5100916818,"£8,308.46",P S Recruitment Specialists Ltd,,,
Manchester City Council,Chief Executives,Agency staff provision,03.05.2017,5100916821,"£5,906.80",Proactive Personnel Ltd,,,
Manchester City Council,Chief Executives,Agency staff provision,03.05.2017,5100916902,"£3,767.95",Semester Recruitment Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2017,1905573321,£549.93,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.05.2017,1905573278,£516.11,Ralph Livesey Ltd,,,
Manchester City Council,Chief Executives,Agency staff provision,03.05.2017,5100917056,"£8,031.30",Ashberry Recruitment Ltd,,,
Manchester City Council,Chief Executives,Agency staff provision,03.05.2017,5100917071,"£3,425.30",Resolve Personnel Ltd,,,
Manchester City Council,Chief Executives,Mobilephone Charges,03.05.2017,5100916736,"£3,725.00",EE / Orange,,,
Manchester City Council,Chief Executives,Mobilephone Charges,03.05.2017,5100916735,"£2,980.00",EE / Orange,,,
Manchester City Council,Chief Executives,Mobilephone Charges,03.05.2017,5100916737,"£1,434.00",EE / Orange,,,
Manchester City Council,Chief Executives,Mobilephone Charges,03.05.2017,5100916742,"£1,195.00",EE / Orange,,,
Manchester City Council,Chief Executives,Mobilephone Charges,03.05.2017,5100916739,£717.00,EE / Orange,,,
Manchester City Council,Adult Social Care,Professional fees,03.05.2017,5100914543,"£3,600.00",JBS-R Associates,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.05.2017,5100917061,"£57,932.66",Biffa Municipal Limited,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.05.2017,5100917060,"£37,500.00",Biffa Municipal Limited,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,03.05.2017,1905573065,£544.00,Southport & Ormskirk Hospital,,,
Manchester City Council,Adult Social Care,Equipment,03.05.2017,5100914640,"£1,050.03",Tiptoes Child Therapy Services Ltd,,,
Manchester City Council,Adult Social Care,Equipment,03.05.2017,5100914639,£841.68,Tiptoes Child Therapy Services Ltd,,,
Manchester City Council,Manchester Leisure,Equipment,03.05.2017,1700071169,-£807.84,Cobalt Designs,,,
Manchester City Council,Adult Social Care,Professional fees,03.05.2017,1905572760,"£3,350.00",Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Professional fees,03.05.2017,1905571768,£656.25,Redacted Personal Information,,,
Manchester City Council,Chief Executives,Legal Fees,03.05.2017,1905573505,"£1,500.00",Redacted Personal Information,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917333,£885.84,The Furnishing Service Ltd,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917325,£805.37,The Furnishing Service Ltd,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917308,£663.40,The Furnishing Service Ltd,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917336,£629.24,The Furnishing Service Ltd,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917312,£572.89,The Furnishing Service Ltd,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917321,£572.89,The Furnishing Service Ltd,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917323,£572.89,The Furnishing Service Ltd,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917324,£572.89,The Furnishing Service Ltd,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917329,£572.89,The Furnishing Service Ltd,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917332,£572.89,The Furnishing Service Ltd,,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,04.05.2017,5100917328,£560.03,The Furnishing Service Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.05.2017,5100917140,"£1,062.00",MCCR,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.05.2017,5100917132,£947.00,MCCR,,,
Manchester City Council,Adult Social Care,Cleaning Equipment and Materials,04.05.2017,5100917174,"£4,670.63",Initial Medical Services,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,04.05.2017,5100917305,"£2,800.00",Clearway Drainage Systems Ltd,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,04.05.2017,5100917306,"£2,240.00",Clearway Drainage Systems Ltd,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,04.05.2017,5100917096,"£1,944.00",Saltax Ltd,,,
Manchester City Council,Adult Social Care,Payments for services,04.05.2017,5100917087,"£17,794.00",The Youth Justice Board,,,
Manchester City Council,Adult Social Care,Payments for services,04.05.2017,5100917088,"£14,632.00",The Youth Justice Board,,,
Manchester City Council,Adult Social Care,Payments for services,04.05.2017,5100917086,"£12,628.00",The Youth Justice Board,,,
Manchester City Council,Adult Social Care,Payments for services,04.05.2017,5100917099,"£5,487.00",The Youth Justice Board,,,
Manchester City Council,Adult Social Care,Payments for services,04.05.2017,5100917100,£531.00,The Youth Justice Board,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,04.05.2017,5100917128,"£9,714.00",The Manchester College,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,04.05.2017,5100917128,"£5,642.00",The Manchester College,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,04.05.2017,5100917089,"£61,991.48",Kenny Bros (Civil Eng) Ltd,,,
Manchester City Council,Corporate Services,I T Provision,04.05.2017,5100917115,"£3,620.25",Northgate Public Services (UK) Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.05.2017,5100917297,-£773.28,Irish Community Care,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,04.05.2017,1905579615,£589.62,Askews and Holts,,,
Manchester City Council,Regeneration Finance,Professional fees,04.05.2017,5100915480,£600.00,Architectural History Practice Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.05.2017,5100916847,"£7,948.99",Manchester Young Lives,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,04.05.2017,5100917150,"£1,260.00",Choices Home 4 Children Ltd,,,
Manchester City Council,Adult Social Care,Payments for services,04.05.2017,5100913639,"£26,665.43",Care Concepts Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.05.2017,5100917143,£531.40,University Hospital of South Mcr,,,
Manchester City Council,Adult Social Care,Signers/Interpreters Fees,04.05.2017,5100917179,£743.20,Language Line Ltd,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,04.05.2017,5100917233,"-£614,899.00",Greater Manchester Mental Health,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,04.05.2017,5100917175,"£19,567.30",Central Manchester University Hosp,,,
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,04.05.2017,5100917211,"£1,390.00",Wythenshawe Community Farm,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.05.2017,5100916849,"£2,250.00",Trinity House Community Resource Ce,,,
Manchester City Council,Manchester Leisure,Special Events,04.05.2017,5100917007,"£1,772.20",Chancellors Hotel & Conf Centre,,,
Manchester City Council,Chief Executives,Legal Fees,04.05.2017,1905573061,£518.80,Stockport Psychology Services,,,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,04.05.2017,5100917001,"£11,380.70",Manchester Working Ltd,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,04.05.2017,5100917198,£581.58,The Book Service Ltd,,,
Manchester City Council,Hospitality + Trading Services,Compensation Payments,04.05.2017,1905571623,"£50,000.00",Irwin Mitchell Solicitors,,,
Manchester City Council,Insurance Fund,Insurance,04.05.2017,1905570285,"£15,000.00",Forbes Solicitors,,,
Manchester City Council,Manchester Leisure,Construction Works,04.05.2017,5100917231,"£35,326.57",HAGS-SMP Limited,,,
Manchester City Council,Manchester Leisure,Construction Works,04.05.2017,5100917225,"-£35,254.88",HAGS-SMP Limited,,,
Manchester City Council,Adult Social Care,Equipment,04.05.2017,5100917195,£650.00,Redacted Personal Information,,,
Manchester City Council,Adult Social Care,I T Provision,04.05.2017,5100916509,"£60,000.00",Accenda Ltd,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,04.05.2017,1905579634,"£1,000.00",Bolinda UK Limited,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.05.2017,5100917077,"£1,392.05",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.05.2017,5100917076,£791.09,Wythenshawe Community Housing Group,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.05.2017,5100917186,"£5,600.00",Manchester Hive Network Limited,,,
Manchester City Council,Chief Executives,Printing,04.05.2017,5100917173,-£954.00,NB Colour Print Limited,,,
Manchester City Council,Adult Social Care,Equipment,04.05.2017,5100917197,£548.25,Redacted Personal Information,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.05.2017,5100917205,£545.65,Redacted Personal Information,,,
Manchester City Council,Manchester Leisure,Equipment,04.05.2017,1905579770,"£2,116.27",Redacted Personal Information,,,
Manchester City Council,Manchester Leisure,Professional fees,04.05.2017,1905578487,£500.00,WAlsh Business And Media,,,
Manchester City Council,Chief Executives,Grant and subscriptions awarded,04.05.2017,1905520882,£795.00,Glasstap Limited,,,
Manchester City Council,Adult Social Care,Equipment,05.05.2017,5100917514,£579.71,Eps Supplies Ltd,,,
Manchester City Council,Chief Executives,Training and Development,05.05.2017,5100917408,"£3,750.00",North West Employers Ltd,,,
Manchester City Council,Chief Executives,Training and Development,05.05.2017,5100917410,"£3,125.00",North West Employers Ltd,,,
Manchester City Council,Adult Social Care,Supporting People Payments,05.05.2017,5100917291,"£35,500.00",The Salvation Army,,,
Manchester City Council,Adult Social Care,Equipment,05.05.2017,5100917442,"£1,267.20",Frontier Therapeutics,,,
Manchester City Council,Chief Executives,Printing,05.05.2017,5100917050,£646.29,RNIB,,,
Manchester City Council,Adult Social Care,Rents,05.05.2017,5100917249,"£84,754.92",B & A Properties,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.05.2017,5100917277,"£42,954.00",Gaddum Centre,,,
Manchester City Council,Corporate Services,I T Provision,05.05.2017,5100916848,"£10,000.00",Capita Business Services Ltd,,,
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,05.05.2017,5100917405,"£26,250.00",University Of Salford,,,
Manchester City Council,Adult Social Care,Training and Development,05.05.2017,5100917253,"£3,015.00",Manchester Metropolitan University,,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,05.05.2017,5100917387,"£65,000.00",Riverside ECHG,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580165,"£1,064.47",Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580208,£996.79,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580212,£689.51,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580203,£666.42,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580189,£644.04,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580205,£630.40,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580160,£583.67,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580167,£582.88,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580187,£563.81,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580184,£514.61,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,05.05.2017,1905580158,£505.11,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,05.05.2017,5100917202,"£29,356.33",Kingdom Security Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.05.2017,5100917103,"£2,625.00",Wai Yin Society,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.05.2017,5100917105,"£2,250.00",Wai Yin Society,,,
Manchester City Council,Highways Services,Purchase of stores for re-distribution,05.05.2017,5100917431,"£7,410.00",Glasdon U.K. Limited,,,
Manchester City Council,Highways Services,Professional fees,05.05.2017,5100917365,"£3,275.55",Aecom Infrastructure & Environment,,,
Manchester City Council,Highways Services,Private Finance and Public Private partnership initiatives,05.05.2017,5100917261,"£618,665.03",Amey Highways Lighting (Manchester),,,
Manchester City Council,Highways Services,Private Finance and Public Private partnership initiatives,05.05.2017,5100916734,"£3,556.68",Amey Highways Lighting (Manchester),,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,05.05.2017,5100917290,"£1,781.25",Cheshire West and Chester,,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,05.05.2017,5100917206,"£7,676.88",Rochdale MBC,,,
Manchester City Council,Adult Social Care,Grant Payments,05.05.2017,5100917214,"£8,988.50",Rochdale MBC,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.05.2017,5100917093,"£8,158.00",Greater Manchester Immigration Aid,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.05.2017,5100917109,"£73,750.00",Man. Citizens Advice Bureaux,,,
