Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104937,"£4,901.00",Stannah Lift Services Ltd,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104943,"£4,801.00",Thyssenkrupp Encasa,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104945,"£4,789.58",UPS Building & Maintenance Ltd,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.07.2018,5100983667,"£4,767.00",Uni Hospital of South Mcr,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104942,"£4,650.00",Thyssenkrupp Encasa,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104952,"£4,587.50",Hoist & Shower Chair Company,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104948,"£4,556.97",UPS Building & Maintenance Ltd,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104939,"£4,556.00",Thyssenkrupp Encasa,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104949,"£4,526.00",Thyssenkrupp Encasa,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104944,"£4,456.00",Hoist & Shower Chair Company,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104935,"£4,420.00",Thyssenkrupp Encasa,,
Manchester City Council,Chief Executives,Agency staff provision,02.07.2018,5100983692,"£4,360.00",Redacted Personal Information,,
Manchester City Council,Chief Executives,Examination Fees,02.07.2018,5100983656,"£3,970.00",ROAR Forensics Ltd,,
Manchester City Council,Chief Executives,Examination Fees,02.07.2018,5100983666,"£3,710.00",Uni Hospital of South Mcr,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.07.2018,5100983686,"£3,011.75",The Mustard Tree,,
Manchester City Council,Manchester Leisure,Cleaning Equipment and Materials,02.07.2018,5100983664,"£2,666.20",Viridor Waste (Greater M/cr) Ltd,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104941,"£2,623.00",Hoist & Shower Chair Company,,
Manchester City Council,Chief Executives,Professional fees,02.07.2018,5100983683,"£1,937.30",Chime Communications Limited,,
Manchester City Council,Manchester Leisure,Payments for services,02.07.2018,5100983696,"£1,894.75",W S Education,,
Manchester City Council,Chief Executives,Examination Fees,02.07.2018,5100983657,"£1,745.00",ROAR Forensics Ltd,,
Manchester City Council,Housing General Fund,Building Works,02.07.2018,1906104947,"£1,434.50",UPS Building & Maintenance Ltd,,
Manchester City Council,Highways Services,Purchase of stores for re-distribution,02.07.2018,5100983744,"£1,420.48",Marshalls Mono Ltd,,
Manchester City Council,Adult Social Care,Funeral and coroner related services,02.07.2018,5100983678,"£1,340.00",Greater Manchester Funeral Service,,
Manchester City Council,Adult Social Care,Funeral and coroner related services,02.07.2018,5100983680,"£1,340.00",Greater Manchester Funeral Service,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,02.07.2018,5100983720,£920.00,Pollock Lifts Ltd,,
Manchester City Council,Chief Executives,Advertising,02.07.2018,5100983677,£877.50,TES Global Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2018,1906105765,£848.95,Brake Bros Foodservice Ltd,,
Manchester City Council,Highways Services,I T Provision,02.07.2018,5100983650,£809.96,HPI Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2018,1906105787,£754.24,Brake Bros Foodservice Ltd,,
Manchester City Council,Chief Executives,Examination Fees,02.07.2018,5100983668,£732.00,Central Mcr Uni Hospital t/a,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2018,1906105880,£697.35,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2018,1906105876,£697.02,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2018,1906105853,£678.81,Brake Bros Foodservice Ltd,,
Manchester City Council,Manchester Leisure,Training and Development,02.07.2018,5100983714,£675.00,Bradley Associates,,
Manchester City Council,Manchester Leisure,Training and Development,02.07.2018,5100983714,£675.00,Bradley Associates,,
Manchester City Council,Highways Services,I T Provision,02.07.2018,5100983652,£673.75,HPI Ltd,,
Manchester City Council,Highways Services,I T Provision,02.07.2018,5100983651,£658.52,HPI Ltd,,
Manchester City Council,Highways Services,I T Provision,02.07.2018,5100983648,£657.29,HPI Ltd,,
Manchester City Council,Chief Executives,Postage,02.07.2018,1906097702,£631.96,Royal Mail Group Plc,,
Manchester City Council,Highways Services,I T Provision,02.07.2018,5100983649,£578.13,HPI Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2018,1906105817,£574.40,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2018,1906105786,£562.12,Brake Bros Foodservice Ltd,,
Manchester City Council,Adult Social Care,Furniture,02.07.2018,5100983747,£539.00,Egan Reid Stationery Co Ltd,,
Manchester City Council,Adult Social Care,Furniture,02.07.2018,5100983745,£516.00,Egan Reid Stationery Co Ltd,,
Manchester City Council,Manchester Leisure,Equipment,02.07.2018,1906105919,£511.67,Redacted Personal Information,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,02.07.2018,1906105838,£503.08,Brake Bros Foodservice Ltd,,
Manchester City Council,Manchester Leisure,Cleaning Equipment and Materials,02.07.2018,5100983646,"-£2,666.20",Viridor Waste (Greater M/cr) Ltd,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.07.2018,5100983794,"£285,308.83",Vinci Construction UK Ltd,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.07.2018,5100983764,"£102,292.62",B.A.A.S. Construction Ltd,,
Manchester City Council,Adult Social Care,Rents,03.07.2018,5100983835,"£57,937.55",B & A Properties,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.07.2018,5100983765,"£45,486.09",Manchester Working Ltd,,
Manchester City Council,Adult Social Care,Payments for services,03.07.2018,5100983798,"£35,702.70",Creative Support Ltd,,
Manchester City Council,Regeneration Finance,Professional fees,03.07.2018,1906094734,"£23,847.00",Savills (UK) Ltd,,
Manchester City Council,Manchester Leisure,Construction Works,03.07.2018,5100983723,"£20,772.40",Bethell Construction Ltd,,
Manchester City Council,Corporate Services,Construction Works,03.07.2018,5100983721,"£20,095.49",Bethell Construction Ltd,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.07.2018,5100983769,"£19,951.20",Cruden Group Ltd,,
Manchester City Council,Housing General Fund,Capital Receipts,03.07.2018,1906097998,"£14,775.00",Redrow Homes Lancashire,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,5100983793,"£12,000.00",One Education Ltd,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,03.07.2018,5100983810,"£9,503.57",Carlton Fuels Ltd,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.07.2018,5100983792,"£7,612.65",Vinci Construction UK Ltd,,
Manchester City Council,Adult Social Care,Payments for services,03.07.2018,5100983727,"£5,590.00",Cais Ltd,,
Manchester City Council,Chief Executives,Professional fees,03.07.2018,5100983728,"£5,506.64",Foreign and Commonwealth Office,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.07.2018,5100983796,"£5,276.64",Vinci Construction UK Ltd,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.07.2018,5100983795,"£5,274.17",Vinci Construction UK Ltd,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,03.07.2018,5100983804,"£3,750.00",Brighter Future Workshop Ltd,,
Manchester City Council,Adult Social Care,Payments for services,03.07.2018,5100983729,"£3,500.00",Cais Ltd,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.07.2018,5100983814,"£2,700.00",Canal & River Trust,,
Manchester City Council,Manchester Leisure,Professional fees,03.07.2018,5100983802,"£2,602.92",Redacted Personal Information,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,5100983766,"£1,800.00",JBS-R Associates,,
Manchester City Council,Manchester Leisure,Special Events,03.07.2018,1906105931,"£1,785.00",Executive Sport Limited,,
Manchester City Council,Adult Social Care,Payments for services,03.07.2018,5100983725,"£1,750.00",Cais Ltd,,
Manchester City Council,Manchester Leisure,Professional fees,03.07.2018,5100983660,"£1,338.00",Carol Bartram Associates Ltd,,
Manchester City Council,Manchester Leisure,Special Events,03.07.2018,5100983800,"£1,299.00",E Smith & Son (Nurserymen),,
Manchester City Council,Manchester Leisure,Special Events,03.07.2018,5100983803,"£1,299.00",E Smith & Son (Nurserymen),,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.07.2018,5100983762,"£1,124.88",Vista Panels Ltd,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,1906105714,"£1,124.00",Cellmark,,
Manchester City Council,Adult Social Care,Rents,03.07.2018,1906090185,"£1,114.04",Manchester Letting,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,5100983779,£900.00,Arnoldsolutions,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,1906105713,£899.00,Cellmark,,
Manchester City Council,Adult Social Care,Rents,03.07.2018,1906103970,£850.00,Redacted Personal Information,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,1906105715,£799.00,Cellmark,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,1906105732,£748.00,Cellmark,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.07.2018,5100983762,£739.19,Vista Panels Ltd,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,1906105728,£727.00,Cellmark,,
Manchester City Council,Adult Social Care,Rents,03.07.2018,1906105888,£700.00,Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Training and Development,03.07.2018,5100983784,£620.00,Trinity College London,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,03.07.2018,5100983791,£619.00,Osborne Richardson,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,1906104920,£574.00,Cellmark,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,1906105707,£574.00,Cellmark,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,1906105718,£574.00,Cellmark,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,1906105722,£574.00,Cellmark,,
Manchester City Council,Adult Social Care,I T Provision,03.07.2018,5100983200,£530.00,CM2000 Care Management,,
Manchester City Council,Adult Social Care,Professional fees,03.07.2018,1906105730,£523.00,Cellmark,,
Manchester City Council,Manchester Leisure,Training and Development,03.07.2018,5100983785,£520.20,Trinity College London,,
Manchester City Council,Manchester Leisure,Training and Development,03.07.2018,1906095594,£513.50,Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Special Events,03.07.2018,5100983801,"-£1,299.00",E Smith & Son (Nurserymen),,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,03.07.2018,5100983809,"-£9,512.57",Carlton Fuels Ltd,,
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,04.07.2018,5100983915,"£1,371,921.94",Renaissance Miles Platting Ltd,,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,04.07.2018,5100983846,"£1,227,688.73",ISG Construction Limited,,
Manchester City Council,Adult Social Care,Payments for services,04.07.2018,5100983841,"£213,847.99",Greater Manchester Mental Health,,
Manchester City Council,Adult Social Care,Payments for services,04.07.2018,5100983844,"£213,847.99",Greater Manchester Mental Health,,
Manchester City Council,Manchester Leisure,Construction Works,04.07.2018,5100981632,"£137,399.32",Bethell Construction Ltd,,
Manchester City Council,Manchester Leisure,Construction Works,04.07.2018,5100981632,"£83,223.02",Bethell Construction Ltd,,
Manchester City Council,GMIST (Greater Mcr Integrated),Professional fees,04.07.2018,5100983884,"£20,000.00",Tameside Metropolitan Bouough,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,04.07.2018,5100983907,"£18,741.75",The Manchester College,,
Manchester City Council,Adult Social Care,Payments for services,04.07.2018,5100983916,"£17,370.00",National Offender Mgt Services,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,04.07.2018,5100983878,"£16,215.00",Redacted Personal Information,,
Manchester City Council,Chief Executives,Agency staff provision,04.07.2018,5100983843,"£15,519.84",Sellick Partnership (Legal) Ltd,,
Manchester City Council,Adult Social Care,Compensation Payments,04.07.2018,1906102484,"£15,000.00",Simpson Millar LLP,,
Manchester City Council,Adult Social Care,Payments for services,04.07.2018,5100983913,"£14,742.00",National Offender Mgt Services,,
Manchester City Council,Adult Social Care,Supporting People Payments,04.07.2018,5100983774,"£13,673.76",Great Places Housing Association,,
Manchester City Council,Adult Social Care,Supporting People Payments,04.07.2018,5100983774,"£10,572.75",Great Places Housing Association,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,04.07.2018,5100983908,"£10,278.75",The Manchester College,,
Manchester City Council,Chief Executives,Agency staff provision,04.07.2018,5100983931,"£9,939.75",Badenoch & Clark,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,04.07.2018,5100983934,"£9,929.00",Carlton Fuels Ltd,,
Manchester City Council,Adult Social Care,Professional fees,04.07.2018,1906088363,"£9,312.50",Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Legal Fees,04.07.2018,1906102920,"£9,295.00",Redacted Personal Information,,
Manchester City Council,Adult Social Care,Supporting People Payments,04.07.2018,5100983774,"£8,979.99",Great Places Housing Association,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,04.07.2018,5100983929,"£6,427.75",K L Properties,,
Manchester City Council,Manchester Leisure,Professional fees,04.07.2018,5100983882,"£6,420.00",Earnie (London) Ltd,,
Manchester City Council,Adult Social Care,Training and Development,04.07.2018,1906105710,"£6,128.40",Barnardos Manchester Leaving Care S,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.07.2018,5100983824,"£6,010.20",Talbot House Support Centre,,
Manchester City Council,Highways Services,Compensation Payments,04.07.2018,1906104913,"£5,750.00",Slater Heelis Collier Littler Solic,,
Manchester City Council,Adult Social Care,Payments for services,04.07.2018,5100983919,"£5,670.00",National Offender Mgt Services,,
Manchester City Council,Adult Social Care,Compensation Payments,04.07.2018,1906102759,"£5,465.00",Simpson Millar LLP,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,04.07.2018,5100983912,"£5,200.61",Ramboll UK Limited,,
Manchester City Council,Adult Social Care,Payments for services,04.07.2018,5100983917,"£4,914.00",National Offender Mgt Services,,
Manchester City Council,Adult Social Care,Supporting People Payments,04.07.2018,5100983774,"£4,864.72",Great Places Housing Association,,
Manchester City Council,Highways Services,Compensation Payments,04.07.2018,1906104911,"£4,242.50",Slater Heelis Collier Littler Solic,,
Manchester City Council,Adult Social Care,Supporting People Payments,04.07.2018,5100983726,"£4,158.48",ACORN Recovery Projects,,
Manchester City Council,Adult Social Care,Personal Needs of Residents - Other Amenities,04.07.2018,1906105710,"£4,083.47",Barnardos Manchester Leaving Care S,,
Manchester City Council,Adult Social Care,Fixtures and Fittings,04.07.2018,1906105710,"£3,814.00",Barnardos Manchester Leaving Care S,,
Manchester City Council,Adult Social Care,Payments for services,04.07.2018,5100983867,"£3,686.10",Pathways CIC,,
Manchester City Council,Chief Executives,Agency staff provision,04.07.2018,5100983851,"£3,407.35",Venn Group Ltd,,
Manchester City Council,Manchester Leisure,Professional fees,04.07.2018,5100983860,"£3,333.00","Groundwork Manchester, Salford",,
Manchester City Council,Manchester Leisure,Equipment,04.07.2018,5100983880,"£2,910.00",Digital Hearing Care Ltd,,
Manchester City Council,Chief Executives,Compensation Payments,04.07.2018,1906106054,"£2,690.00",Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,04.07.2018,5100983849,"£1,990.00",The School of Life,,
Manchester City Council,Chief Executives,Printing,04.07.2018,5100983826,"£1,913.00",Leeds Graphic Press Ltd,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.07.2018,5100983914,"£1,857.60",Enterprise Flex-E-Rent,,
Manchester City Council,Manchester Leisure,Professional fees,04.07.2018,5100983847,"£1,856.00",T/A Abacus Training,,
Manchester City Council,Manchester Leisure,Professional fees,04.07.2018,5100983853,"£1,710.00",Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.07.2018,5100983926,"£1,530.00",Rusholme & Fallowfield Comm Forum,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.07.2018,5100983940,"£1,500.00",Friends of Broadhurst Comm Group,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.07.2018,5100983940,"£1,500.00",Friends of Broadhurst Comm Group,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,04.07.2018,5100983865,"£1,455.39",Bury M.B.C.,,
Manchester City Council,Adult Social Care,Professional fees,04.07.2018,1906102756,"£1,326.30",Therapeutic Fostering Ltd,,
Manchester City Council,Chief Executives,Agency staff provision,04.07.2018,5100983724,"£1,312.50",Sanctuary Social Care,,
Manchester City Council,Adult Social Care,Rents,04.07.2018,1906105710,"£1,214.99",Barnardos Manchester Leaving Care S,,
Manchester City Council,Adult Social Care,Equipment,04.07.2018,5100983910,"£1,152.00",Beacon House,,
Manchester City Council,Adult Social Care,I T Provision,04.07.2018,5100983922,"£1,044.90",Insight Direct (Uk) Ltd,,
Manchester City Council,Adult Social Care,Payments for services,04.07.2018,5100983894,"£1,024.76",The Together Trust,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,04.07.2018,1906104915,£955.07,Barts Health NHS Trust,,
Manchester City Council,Adult Social Care,Childrens Allowances,04.07.2018,1906105710,£926.40,Barnardos Manchester Leaving Care S,,
Manchester City Council,Highways Services,Training and Development,04.07.2018,5100983838,£921.00,Skills Training Centre Ltd,,
Manchester City Council,Highways Services,Compensation Payments,04.07.2018,1906105927,£784.70,Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,04.07.2018,5100983875,£778.80,Art Press Publishing,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,04.07.2018,5100983872,£722.52,Stone Marketing Ltd,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.07.2018,5100983840,£693.00,Tiddlywinks Nursery-Clayton No.4 Ac,,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,04.07.2018,5100983942,£600.00,Hoist & Shower Chair Company,,
Manchester City Council,Chief Executives,Professional fees,04.07.2018,1906097988,£558.00,CASCADE GROUP,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,04.07.2018,1906097999,£557.17,Imperial College H/Care NHS Trust,,
Manchester City Council,Adult Social Care,Professional fees,04.07.2018,1906096522,£539.43,Advanced Child Care Assessments,,
Manchester City Council,Manchester Leisure,Goods Received Invoice Received,04.07.2018,5100983932,-£500.00,St Johns Buildings-Barristers,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,04.07.2018,5100983909,"-£5,200.61",Ramboll UK Limited,,
Manchester City Council,Adult Social Care,Payments for services,04.07.2018,5100983845,"-£427,695.98",Greater Manchester Mental Health,,
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,05.07.2018,5100984041,"£821,637.00",S4B Limited,,
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,05.07.2018,5100984123,"£323,905.02",S4B Limited,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,05.07.2018,5100984066,"£307,844.67",Central Mcr Uni Hospital t/a,,
Manchester City Council,Adult Social Care,Rents,05.07.2018,5100984031,"£76,495.00",Accommodation Links Ltd,,
Manchester City Council,Environment and Operations,Construction Works,05.07.2018,5100984156,"£72,478.20",JPCS Ltd,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,05.07.2018,5100984014,"£30,363.25",The Booth Centre,,
Manchester City Council,Highways Services,Payments to Contractors,05.07.2018,5100984024,"£24,459.20",National Car Parks Ltd Season Ticke,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,05.07.2018,5100983980,"£18,626.94",Carlton Fuels Ltd,,
Manchester City Council,Adult Social Care,Equipment,05.07.2018,5100984082,"£17,029.00",Independent Life Solutions,,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,05.07.2018,5100984002,"£16,448.28",G & J Seddon Ltd,,
Manchester City Council,Manchester Leisure,Special Events,05.07.2018,5100984013,"£15,600.00",Manchester Jazz Festival,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,05.07.2018,5100984066,"£15,206.00",Central Mcr Uni Hospital t/a,,
Manchester City Council,Corporate Services,Fees,05.07.2018,1906105697,"£14,459.21",Agilisys Contact Services Ltd,,
Manchester City Council,Chief Executives,Agency staff provision,05.07.2018,5100984209,"£13,023.25",Eden Brown Synergy,,
Manchester City Council,Chief Executives,Agency staff provision,05.07.2018,5100984192,"£12,481.65",Caritas Recruitment,,
Manchester City Council,Highways Services,Payments to Contractors,05.07.2018,5100984028,"£11,711.17",National Car Parks Ltd Season Ticke,,
Manchester City Council,Highways Services,Payments to Contractors,05.07.2018,5100984029,"£11,711.17",National Car Parks Ltd Season Ticke,,
Manchester City Council,Corporate Services,Compensation Payments,05.07.2018,5100983999,"£11,176.59",Gunner Cooke LLP,,
Manchester City Council,Corporate Services,Fees,05.07.2018,1906106077,"£10,940.35",Bristow & Sutor,,
Manchester City Council,Chief Executives,Agency staff provision,05.07.2018,5100984022,"£10,448.75",Badenoch & Clark,,
Manchester City Council,Chief Executives,Agency staff provision,05.07.2018,5100984118,"£9,612.85",Badenoch & Clark,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.07.2018,5100984087,"£8,957.33",The Stroke Association,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,05.07.2018,5100983828,"£8,480.00",AECOM Limited,,
Manchester City Council,Chief Executives,Agency staff provision,05.07.2018,5100984115,"£8,359.00",Badenoch & Clark,,
Manchester City Council,Adult Social Care,Payments for services,05.07.2018,5100984042,"£8,099.05",Liverpool Progressive School,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,05.07.2018,5100984117,"£6,887.08",Mitie Cleaning & Environmental,,
Manchester City Council,Adult Social Care,Gas,05.07.2018,1906112157,"£6,830.06",British Gas Plc,,
Manchester City Council,Regeneration Finance,Grounds Maintenance Costs,05.07.2018,5100983991,"£6,137.00",Redgate Holdings Ltd,,
Manchester City Council,Adult Social Care,Equipment,05.07.2018,5100984075,"£6,000.00",Independent Life Solutions,,
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,05.07.2018,1906112010,"£5,882.70",PHS Group,,
Manchester City Council,Chief Executives,Agency staff provision,05.07.2018,5100984120,"£5,851.30",Badenoch & Clark,,
Manchester City Council,Adult Social Care,Payments for services,05.07.2018,5100983984,"£5,670.00",National Offender Mgt Services,,
Manchester City Council,Manchester Leisure,Hire of Equipment,05.07.2018,5100984034,"£5,617.20",A to V Ltd,,
Manchester City Council,Adult Social Care,Rents,05.07.2018,5100983316,"£5,564.75",Diocese of Salford,,
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,05.07.2018,1906112009,"£5,549.23",PHS Group,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.07.2018,5100983977,"£5,508.67",Skills & Work Solutions,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,05.07.2018,5100984157,"£5,000.00",North West Media Ltd,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,05.07.2018,5100983992,"£4,884.74",Winners Contract Hire Ltd,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,05.07.2018,5100984167,"£4,678.80",Specialist Vehicle rental,,
Manchester City Council,Adult Social Care,Payments for services,05.07.2018,5100984164,"£4,448.19",Rossendale School Priory,,
Manchester City Council,Highways Services,Professional fees,05.07.2018,5100983888,"£4,290.00",AECOM Limited,,
Manchester City Council,Manchester Leisure,Equipment,05.07.2018,5100983862,"£4,085.00",Massey & Harris (Engrg) Ltd,,
Manchester City Council,Adult Social Care,Payments for services,05.07.2018,5100983987,"£3,780.00",National Offender Mgt Services,,
Manchester City Council,Adult Social Care,Supporting People Payments,05.07.2018,5100984074,"£3,684.74",Northwards Housing Limited,,
Manchester City Council,Chief Executives,Agency staff provision,05.07.2018,5100984206,"£3,496.80",Eden Brown Synergy,,
Manchester City Council,Manchester Leisure,Refuse Collection,05.07.2018,5100983703,"£3,458.90",Viridor Waste (Greater M/cr) Ltd,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,05.07.2018,5100984066,"£3,040.50",Central Mcr Uni Hospital t/a,,
