Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,
Manchester City Council,Adult Social Care,Water Service Charges - Metered,02.11.2017,1905808169,"£1,086.09",Water Plus Limited,,,
Manchester City Council,Adult Social Care,Furniture,02.11.2017,5100945734,£647.80,Back Care Solutions Ltd,,,
Manchester City Council,Adult Social Care,Catering,02.11.2017,5100945637,"£9,542.75",Spie Limited,,,
Manchester City Council,Adult Social Care,Catering,02.11.2017,5100945633,"-£9,542.75",Spie Limited,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.11.2017,5100945820,"£9,942.00",Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.11.2017,5100945747,"£6,381.00",Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.11.2017,5100945781,"£12,130.50",G & A Taylor Hotels Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.11.2017,5100940444,"£12,400.00",One Education Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.11.2017,5100945667,"-£75,000.00",Young Manchester,,,
Manchester City Council,Adult Social Care,Personal needs of client,02.11.2017,5100945602,-£559.00,Drive Devilbiss Healthcare Ltd,,,
Manchester City Council,Adult Social Care,Legal Fees,02.11.2017,5100945780,£687.50,Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Legal Fees,02.11.2017,5100945763,£850.00,Kings Chambers,,,
Manchester City Council,Adult Social Care,Legal Fees,02.11.2017,5100945777,£937.50,Redacted Personal Information,,,
Manchester City Council,Chief Executives,Compensation Payments,02.11.2017,1905807843,£783.84,Susan McColl & Associates,,,
Manchester City Council,Chief Executives,Compensation Payments,02.11.2017,1905807816,"£1,004.70",Redacted Personal Information,,,
Manchester City Council,Corporate Services,Grant Payments,02.11.2017,5100945680,"£3,095.00",Utilitywise Corporate Division,,,
Manchester City Council,Corporate Services,Professional fees,02.11.2017,5100945708,£750.00,Thomson Associates,,,
Manchester City Council,Corporate Services,Professional fees,02.11.2017,5100945840,"£3,250.00",Savills (UK) Ltd,,,
Manchester City Council,Corporate Services,Professional fees,02.11.2017,5100945709,"£2,450.00",Rider Levett Bucknall UK Ltd,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,02.11.2017,5100945792,"£76,281.00",Kier Construction Limited,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,02.11.2017,5100945817,"£19,552.00",Kier Construction Limited,,,
Manchester City Council,Housing Revenue Account,Gas,02.11.2017,1905808168,£925.60,Gazprom Energy,,,
Manchester City Council,Housing Revenue Account,Gas,02.11.2017,1905808167,£696.59,Gazprom Energy,,,
Manchester City Council,Housing Revenue Account,Gas,02.11.2017,1905808166,£636.86,Gazprom Energy,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.11.2017,5100945776,£841.50,Middleton Funeralcare,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.11.2017,5100945774,£742.50,Middleton Funeralcare,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.11.2017,5100945769,£693.00,Middleton Funeralcare,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.11.2017,5100945765,£544.50,Middleton Funeralcare,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.11.2017,5100945849,£677.60,Redacted Personal Information,,,
Manchester City Council,Chief Executives,Postage,02.11.2017,5100945655,"£4,500.00",Teleset Francotyp Postalia Ltd,,,
Manchester City Council,Chief Executives,Advertising,02.11.2017,5100945782,£787.50,The Law Society,,,
Manchester City Council,Chief Executives,Advertising,02.11.2017,5100945773,£595.00,In Touch Local Media Ltd,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,02.11.2017,5100932357,"£6,200.00",Omega Fire Engineering,,,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,02.11.2017,5100945677,"£38,762.37",Manchester Working Ltd,,,
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,02.11.2017,5100945799,£841.62,Alliance Disposables Ltd,,,
Manchester City Council,Regeneration Finance,Professional fees,02.11.2017,5100945660,"£4,282.90",The Means:,,,
Manchester City Council,GMIST (Greater Mcr Integrated),I T Provision,02.11.2017,1905760754,"£12,000.00",University Hospital Of,,,
Manchester City Council,GMIST (Greater Mcr Integrated),Payments for services,02.11.2017,5100941282,"£42,400.00",Tameside Metropolitan Bouough,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.11.2017,5100945866,"£5,213.00",Dickinson Environmental,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.11.2017,5100945869,"£4,362.00",Dickinson Environmental,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.11.2017,5100945870,"£2,013.00",Dickinson Environmental,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.11.2017,5100945874,"£1,468.00",Dickinson Environmental,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.11.2017,5100945876,"£1,020.00",Dickinson Environmental,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.11.2017,5100945873,£812.00,Dickinson Environmental,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.11.2017,5100945875,£767.00,Dickinson Environmental,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.11.2017,5100946000,£895.00,Willfab Ltd,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.11.2017,5100946021,£895.00,Willfab Ltd,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.11.2017,5100945998,-£895.00,Willfab Ltd,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.11.2017,5100946028,-£895.00,Willfab Ltd,,,
Manchester City Council,Manchester Leisure,Training and Development,03.11.2017,5100946098,£935.00,Ncfe,,,
Manchester City Council,Manchester Leisure,Publications,03.11.2017,5100945020,"£1,515.00",Thompson Reuters,,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2017,5100945976,"£4,950.00","Knight, Kavanagh & Page",,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2017,5100946128,£720.00,Height Lift & Shift Ltd,,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2017,5100945983,"£2,313.00",Redacted Personal Information,,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2017,5100945985,£750.00,Redacted Personal Information,,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2017,5100945987,£600.00,Redacted Personal Information,,,
Manchester City Council,Manchester Leisure,I T Provision,03.11.2017,5100945767,"£4,580.00",GMCVO Databases,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.11.2017,5100945853,"£4,250.00",Barlow Moor Community Association,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.11.2017,5100945871,"£2,628.00",Northmoor Community Association,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.11.2017,5100946024,"£2,367.00",Whalley Range Forum,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.11.2017,5100945832,"£3,600.00",City of Westminster,,,
Manchester City Council,Manchester Leisure,Special Events,03.11.2017,5100946132,£690.00,JuniorSTEM,,,
Manchester City Council,Manchester Leisure,Legal Fees,03.11.2017,5100946007,£525.00,Redacted Personal Information,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809254,"£1,023.60",Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809311,£930.73,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809298,£914.94,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809358,£877.29,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809193,£840.25,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809299,£839.50,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809346,£821.15,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809258,£791.50,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809242,£785.28,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809335,£738.45,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809245,£668.29,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809307,£629.09,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809211,£626.58,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809188,£597.57,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809302,£585.19,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809199,£580.25,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809286,£561.40,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809295,£517.91,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809318,£517.40,Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,03.11.2017,1905809363,"£54,992.82",Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Floral Decorations,03.11.2017,5100945922,"£3,632.50",E Smith & Son (Nurserymen),,,
Manchester City Council,Adult Social Care,Agency staff provision,03.11.2017,5100943608,"£2,140.00",Timothy James Consulting,,,
Manchester City Council,Adult Social Care,Agency staff provision,03.11.2017,5100943606,"£1,872.50",Timothy James Consulting,,,
Manchester City Council,Adult Social Care,Rents,03.11.2017,5100945972,"£4,947.66",Irwell Valley Housing Association,,,
Manchester City Council,Adult Social Care,Rents,03.11.2017,5100945978,"£4,947.66",Irwell Valley Housing Association,,,
Manchester City Council,Adult Social Care,Rents,03.11.2017,5100945971,"-£4,947.66",Irwell Valley Housing Association,,,
Manchester City Council,Adult Social Care,Rents,03.11.2017,5100945867,"£83,597.71",Accommodation Links Ltd,,,
Manchester City Council,Adult Social Care,Signers/Interpreters Fees,03.11.2017,5100945666,£853.60,Language Line Ltd,,,
Manchester City Council,Adult Social Care,Signers/Interpreters Fees,03.11.2017,5100945665,£695.20,Language Line Ltd,,,
Manchester City Council,Adult Social Care,Signers/Interpreters Fees,03.11.2017,5100945668,£549.60,Language Line Ltd,,,
Manchester City Council,Adult Social Care,Professional fees,03.11.2017,5100945858,"£13,250.00",One Education Ltd,,,
Manchester City Council,Adult Social Care,Professional fees,03.11.2017,5100946037,"£3,150.03",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Professional fees,03.11.2017,5100946079,"£3,150.03",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Professional fees,03.11.2017,5100946088,"£3,150.03",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Professional fees,03.11.2017,5100946085,"£2,339.61",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Professional fees,03.11.2017,5100946092,"£2,339.61",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Professional fees,03.11.2017,5100946094,"£2,339.61",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Professional fees,03.11.2017,5100945907,£975.00,Gowland & Sons Ltd,,,
Manchester City Council,Adult Social Care,Payment of School Budget Share,03.11.2017,5100946119,"£1,680.30",Castlefield Campus,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,03.11.2017,5100946107,"£2,206.66",The Blue Coat CE School,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,03.11.2017,5100945721,"£488,333.34",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,03.11.2017,5100945723,"£2,500.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,03.11.2017,5100945764,£506.79,Central & NW London NHS Foundation,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,03.11.2017,5100945982,-£506.79,Central & NW London NHS Foundation,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,03.11.2017,1905809124,"£2,075.76",East Cheshire NHS Trust,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100931248,"£1,034.76",The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100931249,"£1,034.76",The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100938425,"£1,034.68",The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100931248,£972.67,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100931249,£972.67,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100938425,£972.67,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100931248,£790.70,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100931249,£790.70,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100938425,£790.60,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100931248,£785.74,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100931249,£785.74,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100938425,£785.74,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100931248,£695.78,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100931249,£695.78,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100938425,£695.74,The Guinness Partnership Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100945672,"£2,426.50",Wai Yin Society,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100945879,"-£2,426.50",Wai Yin Society,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100945912,"£25,000.00",Manchester Care & Repair Ltd,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100945710,"£1,612.50",GMCVO,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100945897,"£1,520.25",4CT Limited,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100945903,"£1,520.25",4CT Limited,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100945908,"£1,520.25",4CT Limited,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100946121,"£4,347.00",The Big Life Company,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.11.2017,5100945864,"£75,000.00",Young Manchester,,,
Manchester City Council,Adult Social Care,Payments for services,03.11.2017,5100945961,"£1,950.00",The Together Trust,,,
Manchester City Council,Adult Social Care,Payments for services,03.11.2017,5100946142,"£34,743.00",Creative Support Ltd,,,
Manchester City Council,Adult Social Care,Payments for services,03.11.2017,5100945878,"£36,485.00",NHS Central Manchester CCG,,,
Manchester City Council,Adult Social Care,Payments for services,03.11.2017,5100945878,"£9,790.00",NHS Central Manchester CCG,,,
Manchester City Council,Adult Social Care,Payments for services,03.11.2017,5100946127,£592.00,Eam Home Care Ltd,,,
Manchester City Council,Adult Social Care,Payments for services,03.11.2017,5100946129,£592.00,Eam Home Care Ltd,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.11.2017,5100945856,"£4,100.00",Barnardo's,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.11.2017,5100943125,"£19,091.41",Riverside ECHG,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.11.2017,5100943125,"£12,585.85",Riverside ECHG,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.11.2017,5100943125,"£12,500.00",Riverside ECHG,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.11.2017,5100943125,"£5,833.33",Riverside ECHG,,,
Manchester City Council,Adult Social Care,Registered Nursing Homes Permanent Payments,03.11.2017,5100946140,£645.00,Ringway Mews Nursing Home,,,
Manchester City Council,Adult Social Care,Temporary Care - Residential,03.11.2017,5100946089,"£25,392.86",Potensial Ltd (T/A Potens),,,
Manchester City Council,Adult Social Care,Temporary Care - Residential,03.11.2017,5100946099,"£19,800.00",Potensial Ltd (T/A Potens),,,
Manchester City Council,Adult Social Care,Temporary Care - Residential,03.11.2017,5100946084,"£19,800.00",Potensial Ltd (T/A Potens),,,
Manchester City Council,Corporate Services,Transport Taxis,03.11.2017,1905809369,"£3,595.30",Manchester Cars,,,
Manchester City Council,Corporate Services,Professional fees,03.11.2017,5100945892,£925.00,Currie & Brown UK Ltd,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.11.2017,5100945919,"£14,250.00",Bruntwood Estates Alpha,,,
Manchester City Council,Corporate Services,Long Term Debtors,03.11.2017,5100946157,"£164,295.25",Nook & Key Ltd,,,
Manchester City Council,Housing Revenue Account,Car Parking Permits,03.11.2017,5100946108,£833.33,National Car Parks Ltd Season Ticke,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100945950,£663.37,Rexel UK Ltd,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100945944,£513.27,Rexel UK Ltd,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946130,"£3,765.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100945993,"£4,268.05",SIG Roofing Supplies,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946070,"£1,600.10",SIG Roofing Supplies,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946013,"£1,519.54",SIG Roofing Supplies,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946051,"£1,445.74",SIG Roofing Supplies,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946052,"£1,060.84",SIG Roofing Supplies,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100945994,"£1,005.19",SIG Roofing Supplies,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946016,£686.10,SIG Roofing Supplies,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946069,£611.52,SIG Roofing Supplies,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946020,£609.53,SIG Roofing Supplies,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946003,"£7,380.25",JTC Furniture Group,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946002,"£3,978.20",JTC Furniture Group,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946004,"£3,809.47",JTC Furniture Group,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946076,"£1,866.76",IG Doors Ltd,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946074,£612.92,IG Doors Ltd,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946082,£611.78,IG Doors Ltd,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2017,5100946072,£585.78,IG Doors Ltd,,,
Manchester City Council,Chief Executives,Agency staff provision,03.11.2017,5100946047,"£6,087.00",NES UK Limited,,,
Manchester City Council,Chief Executives,Agency staff provision,03.11.2017,5100945964,"£2,719.25",Reed Employment Plc,,,
Manchester City Council,Chief Executives,Agency staff provision,03.11.2017,5100946080,"£2,617.60",Hamptons Resourcing Limited,,,
Manchester City Council,Chief Executives,Vehicle Hire Costs,03.11.2017,5100945965,£750.75,Manchester Van Hire Ltd,,,
Manchester City Council,Chief Executives,Hire of Equipment,03.11.2017,5100945722,"£12,524.20",Universal Live,,,
Manchester City Council,Chief Executives,Hire of Equipment,03.11.2017,5100945715,"£2,640.00",Universal Live,,,
Manchester City Council,Chief Executives,Hire of Equipment,03.11.2017,5100945717,£825.39,Universal Live,,,
Manchester City Council,Chief Executives,Hire of Equipment,03.11.2017,5100945720,£552.40,Universal Live,,,
Manchester City Council,Chief Executives,Grant Payments,03.11.2017,5100946097,"£5,000.00",Manchester Camerata,,,
Manchester City Council,Chief Executives,Paper & Envelopes,03.11.2017,5100946061,"£28,038.57",Premier Paper Group Ltd,,,
Manchester City Council,Chief Executives,Postage,03.11.2017,5100946055,"£1,614.04",Royal Mail Group Plc,,,
Manchester City Council,Chief Executives,Advertising,03.11.2017,5100945877,£810.00,Moonscape Media Ltd,,,
Manchester City Council,Chief Executives,Advertising,03.11.2017,5100945959,£877.50,TES Global Ltd,,,
Manchester City Council,Chief Executives,Advertising,03.11.2017,5100945960,£877.50,TES Global Ltd,,,
Manchester City Council,Chief Executives,Advertising,03.11.2017,5100945958,£710.10,TES Global Ltd,,,
Manchester City Council,Chief Executives,Advertising,03.11.2017,5100945885,£690.00,MediaCo Ltd,,,
Manchester City Council,Chief Executives,Advertising,03.11.2017,5100945855,£980.00,GAYDIO Community Interest Company,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.11.2017,5100945911,"£21,000.00",Gardiner & Theobald LLP,,,
Manchester City Council,Chief Executives,Legal Fees,03.11.2017,5100946100,"£6,000.00",Redacted Personal Information,,,
Manchester City Council,Regeneration Finance,Window Cleaning,03.11.2017,5100945775,£635.00,Independent Window Cleaners,,,
Manchester City Council,Regeneration Finance,Professional fees,03.11.2017,5100945915,"£13,000.00",Manchester Care & Repair Ltd,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.11.2017,5100945728,"£2,261.35",Amey Highways Lighting (Manchester),,,
