Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,,
Manchester City Council,Chief Executives,Advertising,03.12.2018,5101007705,£720.00,MediaCo Outdoor Limited,,,,,,
Manchester City Council,Chief Executives,Advertising,03.12.2018,5101007707,£720.00,MediaCo Outdoor Limited,,,,,,
Manchester City Council,Chief Executives,Advertising,03.12.2018,5101007710,£720.00,MediaCo Outdoor Limited,,,,,,
Manchester City Council,Chief Executives,Advertising,03.12.2018,1906279448,£650.00,Families Manchester,,,,,,
Manchester City Council,Chief Executives,Advertising,03.12.2018,1906279451,£650.00,Families Manchester,,,,,,
Manchester City Council,Chief Executives,Advertising,03.12.2018,1906280830,£640.00,InLink Ltd,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,03.12.2018,5101007650,"£9,027.00",Talbot/Himmat Support Centre,,,,,,
Manchester City Council,Chief Executives,Compensation Payments,03.12.2018,1906288122,£850.00,Redacted Personal Information,,,,,,
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,03.12.2018,5101007665,£637.60,Alliance Disposables Ltd,,,,,,
Manchester City Council,Regeneration Finance,Professional fees,03.12.2018,5101007745,"£10,500.00",C & W (U.K.) LLP,,,,,,
Manchester City Council,Highways Services,Training - Day Release Fees,03.12.2018,5101007681,£920.00,Red Rose Training (Bolton) Ltd,,,,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.12.2018,5101007694,"£2,325.00",Winter Service Solutions Ltd,,,,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.12.2018,5101007692,"£1,315.00",Winter Service Solutions Ltd,,,,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.12.2018,5101007679,£551.00,Quadrant Security Group,,,,,,
Manchester City Council,Manchester Leisure,Training and Development,04.12.2018,5101007872,£683.33,Resolve Antisocial Behaviour,,,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,04.12.2018,5101007843,"£84,006.71",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Cleaning Equipment and Materials,04.12.2018,5101007845,"£20,348.48",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,04.12.2018,5101007841,"£9,612.50",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Car Parking Permits,04.12.2018,1906289959,"£1,043.33",National Car Parks Ltd Season Ticke,,,,,,
Manchester City Council,Manchester Leisure,Equipment,04.12.2018,5101007866,£897.30,Solon Security Ltd,,,,,,
Manchester City Council,Manchester Leisure,Disposables,04.12.2018,5101007842,"£8,623.11",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Liquid Container Recycling,04.12.2018,5101007844,"£4,420.26",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Recycling Facilities,04.12.2018,5101007848,"£19,365.16",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Professional fees,04.12.2018,1906288272,"£14,400.00",Cambridge Econometrics Ltd,,,,,,
Manchester City Council,Manchester Leisure,Professional fees,04.12.2018,5101007894,"£1,110.00",University Of Manchester,,,,,,
Manchester City Council,Manchester Leisure,Cash Collection,04.12.2018,5101007813,"-£24,247.37",National Car Parks Ltd Season Ticke,,,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.12.2018,5101007752,"£2,500.00",Wythenshawe Safespots,,,,,,
Manchester City Council,Manchester Leisure,Tipping Charges - Tonnage,04.12.2018,5101007847,"£107,291.68",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Tipping Charges - Skips,04.12.2018,5101007846,"£24,529.50",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,04.12.2018,5101007889,"£1,632.80",Cornflower Ltd,,,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,04.12.2018,5101007890,£989.00,Cornflower Ltd,,,,,,
Manchester City Council,Manchester Leisure,Removal and Storage of Furniture,04.12.2018,5101007763,"£9,271.99",Pickfords Move Management Ltd,,,,,,
Manchester City Council,Manchester Leisure,Removal and Storage of Furniture,04.12.2018,5101007858,"£1,309.00",Master Moves Ltd,,,,,,
Manchester City Council,Manchester Leisure,Special Events,04.12.2018,1906288064,"£1,200.00",Redacted Personal Information,,,,,,
Manchester City Council,Manchester Leisure,Payments for services,04.12.2018,5101007738,"£42,099.00",Greenwich Leisure Limited,,,,,,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,04.12.2018,5101007926,"£1,196.00",WYG Engineering Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,04.12.2018,5101007964,"£1,012.50",R & M Developments Ltd,,,,,,
Manchester City Council,Environment and Operations,Works and associated costs for Land and Buildings,04.12.2018,1906290194,"£16,330.00",University Of Manchester,,,,,,
Manchester City Council,Adult Social Care,Rents,04.12.2018,5101007892,"£67,398.10",T15 Consultancy Ltd,,,,,,
Manchester City Council,Adult Social Care,Rents,04.12.2018,1906288067,"£2,000.00",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Rents,04.12.2018,1906288235,£520.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Equipment,04.12.2018,5101007901,£539.73,Medela UK Ltd,,,,,,
Manchester City Council,Adult Social Care,Building Materials for direct delivery,04.12.2018,5101007822,£582.00,Powell Hardware Ltd,,,,,,
Manchester City Council,Adult Social Care,Professional fees,04.12.2018,5101007802,"£8,125.00",One Education Ltd,,,,,,
Manchester City Council,Adult Social Care,Professional fees,04.12.2018,5101007886,£525.00,Randstad Education,,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,04.12.2018,5101007785,"£1,885.00",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,04.12.2018,5101007931,"£1,575.00",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,04.12.2018,5101007928,£845.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Payment of School Budget Share,04.12.2018,5101007854,"£3,420.00",Lancasterian School,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,04.12.2018,5101007883,"£8,917.75",Stretford High School,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,04.12.2018,5101007824,"£8,769.86",Castle Hill High School,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,04.12.2018,5101007829,"£7,761.60",Rochdale MBC,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,04.12.2018,5101007832,"£7,072.00",Trafford M B C,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,04.12.2018,5101007811,"£2,610.00",Alt Payee Acorn Care & Education,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,04.12.2018,5101007831,"£2,176.00",Trafford M B C,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,04.12.2018,5101007830,"£1,577.40",Castle Hill High School,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,04.12.2018,5101000873,£816.00,Trafford M B C,,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.12.2018,1906287842,"£34,120.00",Greater Manchester Together,,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,04.12.2018,5101007826,"£6,010.20",Talbot House Support Centre,,,,,,
Manchester City Council,Adult Social Care,Payments for services,04.12.2018,5101007962,"£19,655.96",The Together Trust,,,,,,
Manchester City Council,Adult Social Care,Payments for services,04.12.2018,5101007882,"£17,953.68",4CT Limited,,,,,,
Manchester City Council,Adult Social Care,Payments for services,04.12.2018,5101006387,"£1,820.00",Randstad Education,,,,,,
Manchester City Council,Adult Social Care,Payments for services,04.12.2018,5101004573,"£1,390.00",Delphi Medical,,,,,,
Manchester City Council,Adult Social Care,Payments for services,04.12.2018,5101004573,£760.00,Delphi Medical,,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,04.12.2018,5101007921,"£6,219.92",Turning Point Services,,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,04.12.2018,5101007917,"£4,351.50",Turning Point Services,,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,04.12.2018,5101007698,"£3,611.11",Contact Hostel,,,,,,
Manchester City Council,Adult Social Care,Foster Payments,04.12.2018,1906290156,"£1,186.00",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Personal needs of client,04.12.2018,5101007818,"£1,675.60",Jenx Ltd,,,,,,
Manchester City Council,Adult Social Care,Personal needs of client,04.12.2018,5101007924,£500.00,Prism Medical UK Carefree Division,,,,,,
Manchester City Council,Adult Social Care,Housing Rents Debit,04.12.2018,1906289937,£605.00,Redacted Personal Information,,,,,,
Manchester City Council,Corporate Services,Professional fees,04.12.2018,5101007839,£650.00,Naismiths Ltd,,,,,,
Manchester City Council,Corporate Services,Professional fees,04.12.2018,5101007780,£625.00,Watts Group Limited,,,,,,
Manchester City Council,Corporate Services,Fees,04.12.2018,1906285524,"£6,424.90",JBW Group Ltd.,,,,,,
Manchester City Council,Corporate Services,Fees,04.12.2018,1906285523,"£1,912.95",JBW Group Ltd.,,,,,,
Manchester City Council,Corporate Services,Subsistence and Conference Expenses,04.12.2018,5100989541,"£2,000.00",Greater Manchester Chamber of,,,,,,
Manchester City Council,Corporate Services,Fees,04.12.2018,1906285523,"-£1,912.95",JBW Group Ltd.,,,,,,
Manchester City Council,Corporate Services,Fees,04.12.2018,1906285524,"-£6,424.90",JBW Group Ltd.,,,,,,
Manchester City Council,Housing General Fund,Building Works,04.12.2018,5101007799,"£38,465.54",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Housing General Fund,Building Works,04.12.2018,5101007799,"£19,038.35",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Chief Executives,Agency staff provision,04.12.2018,5101007805,"£5,596.51",Deekay Technical Recruitment Ltd,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.12.2018,5101007760,"£1,595.35",T/A Janus,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.12.2018,5101007893,£656.50,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.12.2018,5101007912,£641.52,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.12.2018,5101007781,£614.80,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.12.2018,5101007923,£572.03,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.12.2018,5101007909,£567.45,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.12.2018,5101007939,£563.30,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.12.2018,5101007895,£543.45,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Professional fees,04.12.2018,1906290137,"£1,745.64",MUNICIPALITY OF AGUEDA,,,,,,
Manchester City Council,Chief Executives,Advertising,04.12.2018,5101007771,"£1,590.00",MA Education Limited,,,,,,
Manchester City Council,Chief Executives,Advertising,04.12.2018,5101007750,"£1,537.00",Haymarket Publishing Services Ltd,,,,,,
Manchester City Council,Chief Executives,Advertising,04.12.2018,5101007762,£990.00,Hemming Group Ltd,,,,,,
Manchester City Council,Chief Executives,Advertising,04.12.2018,5101007879,£892.50,Global Radio Services Ltd,,,,,,
Manchester City Council,Chief Executives,Advertising,04.12.2018,5101007764,£747.02,Johnston Publishing Ltd,,,,,,
Manchester City Council,Chief Executives,Advertising,04.12.2018,5101007789,£720.00,MediaCo Outdoor Limited,,,,,,
Manchester City Council,Chief Executives,Advertising,04.12.2018,5101007792,£720.00,MediaCo Outdoor Limited,,,,,,
Manchester City Council,Chief Executives,Advertising,04.12.2018,5101007758,£525.00,MediaCo Ltd,,,,,,
Manchester City Council,Chief Executives,Advertising,04.12.2018,5101007765,£525.00,MediaCo Ltd,,,,,,
Manchester City Council,Chief Executives,Advertising,04.12.2018,5101007770,£525.00,MediaCo Ltd,,,,,,
Manchester City Council,Chief Executives,Examination Fees,04.12.2018,1906289942,£800.00,APC Pathology Ltd,,,,,,
Manchester City Council,Chief Executives,Examination Fees,04.12.2018,1906289943,£800.00,APC Pathology Ltd,,,,,,
Manchester City Council,Chief Executives,Examination Fees,04.12.2018,1906289944,£800.00,APC Pathology Ltd,,,,,,
Manchester City Council,Chief Executives,Examination Fees,04.12.2018,1906289945,£800.00,APC Pathology Ltd,,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,04.12.2018,5101007807,"£14,636.00",Manchester Quays Limited,,,,,,
Manchester City Council,Regeneration Finance,Rents,04.12.2018,1906288056,"£10,909.50",Network Rail Property,,,,,,
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,04.12.2018,1906290239,£589.42,PHS Group,,,,,,
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,04.12.2018,1906290263,£537.07,PHS Group,,,,,,
Manchester City Council,Highways Services,Training - Day Release Fees,04.12.2018,5101007948,£720.00,Red Rose Training (Bolton) Ltd,,,,,,
Manchester City Council,Highways Services,Training - Day Release Fees,04.12.2018,5101007946,£680.00,Red Rose Training (Bolton) Ltd,,,,,,
Manchester City Council,Highways Services,Training - Day Release Fees,04.12.2018,5101007947,£680.00,Red Rose Training (Bolton) Ltd,,,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,04.12.2018,5101007816,"£1,500.00",Kloeckner Metals UK,,,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,05.12.2018,5101007989,"£1,080.00",St John Bosco Rc Primary School,,,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,05.12.2018,5101007980,"£1,680.00",Wythenshawe Community Farm,,,,,,
Manchester City Council,Manchester Leisure,Hire of Equipment,05.12.2018,5101007900,"£3,467.00",Eventplus Ltd,,,,,,
Manchester City Council,Manchester Leisure,Hire of Equipment,05.12.2018,5101008105,"-£3,467.00",Eventplus Ltd,,,,,,
Manchester City Council,Manchester Leisure,Professional fees,05.12.2018,5101008154,"£1,481.00",Carol Bartram Associates Ltd,,,,,,
Manchester City Council,Manchester Leisure,Professional fees,05.12.2018,5101008123,£692.00,Trafford Signs Ltd,,,,,,
Manchester City Council,Manchester Leisure,Professional fees,05.12.2018,5101007977,£560.00,Manchester City Galleries Dev Co,,,,,,
Manchester City Council,Manchester Leisure,Special Events,05.12.2018,5101008051,"£2,247.40",Hatton Traffic Management Ltd,,,,,,
Manchester City Council,Manchester Leisure,Special Events,05.12.2018,5101008000,"£1,440.00",DY Lighting Ltd,,,,,,
Manchester City Council,Manchester Leisure,Payments for services,05.12.2018,5101007993,"£10,355.93",The Fitness Training Academy Ltd,,,,,,
Manchester City Council,Manchester Leisure,Legal Fees,05.12.2018,5101008014,£850.00,Redacted Personal Information,,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,05.12.2018,5101007968,"£1,038.50",R & M Developments Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,05.12.2018,5101007973,"£1,038.50",R & M Developments Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,05.12.2018,5101007976,"£1,012.50",R & M Developments Ltd,,,,,,
Manchester City Council,Adult Social Care,Training and Development,05.12.2018,1906288075,"£5,480.00",Specialist Vocational Training Ltd,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008008,"£5,019.00",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008008,"£4,433.50",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008073,"£2,598.40",Parkway Green Housing Trust,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008077,"£2,583.36",Parkway Green Housing Trust,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101007991,"£2,487.68",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008073,"£2,295.16",Parkway Green Housing Trust,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008077,"£2,281.77",Parkway Green Housing Trust,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101007991,"£2,197.26",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008012,"£1,289.86",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008017,"£1,289.86",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008054,"£1,289.86",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008059,"£1,289.86",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101007997,"£1,242.41",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008012,"£1,139.32",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008017,"£1,139.32",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008054,"£1,139.32",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008059,"£1,139.32",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008076,"£1,113.60",Parkway Green Housing Trust,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101007997,"£1,097.20",Wythenshawe Community Housing Group,,,,,,
Manchester City Council,Adult Social Care,Rents,05.12.2018,5101008076,£983.64,Parkway Green Housing Trust,,,,,,
Manchester City Council,Adult Social Care,Storage Costs,05.12.2018,5101007998,"£3,513.82",Restore PLC,,,,,,
Manchester City Council,Adult Social Care,Storage Costs,05.12.2018,5101007995,"£1,822.23",Restore PLC,,,,,,
Manchester City Council,Adult Social Care,Car Parking Permits,05.12.2018,1906246213,"£1,043.33",National Car Parks Ltd Season Ticke,,,,,,
Manchester City Council,Adult Social Care,Equipment,05.12.2018,5101008056,"£4,500.00",Invacare Limited,,,,,,
Manchester City Council,Adult Social Care,Equipment,05.12.2018,5101008079,"-£1,770.90",Frontier Therapeutics,,,,,,
Manchester City Council,Adult Social Care,Professional fees,05.12.2018,5101008086,"£3,490.08",Resolutions Consultancy Pty Ltd,,,,,,
Manchester City Council,Adult Social Care,Professional fees,05.12.2018,1906280679,"£1,685.00",D's Healthy Body Healthy Mind CIC,,,,,,
Manchester City Council,Adult Social Care,Professional fees,05.12.2018,5101008118,£751.00,Anglia DNA Services,,,,,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,05.12.2018,5101008061,"£2,666.67",Street Support Network Ltd,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,05.12.2018,5101008058,"£21,059.26",Rochdale Mbc,,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,05.12.2018,5101008006,"£2,139.00",Worthington Primary School,,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,05.12.2018,5101008087,"£13,095.00",The Shaw Centre,,,,,,
Manchester City Council,Adult Social Care,Payments for services,05.12.2018,5101007987,"£27,533.58",The Together Trust,,,,,,
Manchester City Council,Adult Social Care,Payments for services,05.12.2018,5101008128,"£7,225.26",Nugent House School,,,,,,
Manchester City Council,Adult Social Care,Payments for services,05.12.2018,5101008132,"£4,448.19",Rossendale School Priory,,,,,,
Manchester City Council,Adult Social Care,Payments for services,05.12.2018,5101008139,"£2,660.80",Fairfield Care Ltd,,,,,,
Manchester City Council,Adult Social Care,Legal Fees,05.12.2018,1700084910,"-£12,105.00",Liberata,,,,,,
Manchester City Council,Adult Social Care,Legal Fees,05.12.2018,1906293335,"£1,020.00",Liberata,,,,,,
Manchester City Council,Adult Social Care,Legal Fees,05.12.2018,1906294112,"£2,415.00",Liberata,,,,,,
Manchester City Council,Adult Social Care,Legal Fees,05.12.2018,1906293347,"£9,935.00",Liberata,,,,,,
Manchester City Council,Adult Social Care,Legal Fees,05.12.2018,1906293349,"£12,105.00",Liberata,,,,,,
Manchester City Council,Adult Social Care,Legal Fees,05.12.2018,1906294111,"£12,105.00",Liberata,,,,,,
Manchester City Council,Adult Social Care,Compensation Payments,05.12.2018,1906294113,"£16,135.00",Liberata,,,,,,
Manchester City Council,Corporate Services,External repairs and maintenance for buildings,05.12.2018,5101007887,"£1,665.00",Cahill Design Consultants Ltd,,,,,,
Manchester City Council,Corporate Services,Professional fees,05.12.2018,5101008157,£750.00,Edmond Shipway,,,,,,
Manchester City Council,Corporate Services,Professional fees,05.12.2018,5101008160,£750.00,Edmond Shipway,,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,05.12.2018,5101007880,"£67,748.00",Bruntwood Estates Alpha,,,,,,
