Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.07.2020,5101093058,"£23,520.00",Genuine Property Investments,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.07.2020,5101093104,"£12,729.94",Redacted Personal Information,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.07.2020,5101093068,"£80,000.00",Citizens Advice Manchester,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.07.2020,5101093070,"£80,000.00",Citizens Advice Manchester,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.07.2020,5101093142,"£53,362.16",Riverside ECHG,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.07.2020,5101093060,"£1,629.00",Alzheimers Society (Mcr Branch),
Manchester City Council,Adult Social Care,Supporting People Payments,02.07.2020,5101093141,"£12,500.00",Riverside ECHG,
Manchester City Council,Adult Social Care,Supporting People Payments,02.07.2020,5101093143,"£5,833.33",Riverside ECHG,
Manchester City Council,Corporate Services,Long Term Debtors,02.07.2020,1906905893,"£106,451,612.93",Manchester Airport Finance Holdings,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.07.2020,5101093097,"£1,295.10",Redacted Personal Information,
Manchester City Council,Chief Executives,Grant Payments,02.07.2020,5101093136,"£6,250.00",Community Arts North West,
Manchester City Council,Chief Executives,Grant Payments,02.07.2020,5101093073,"£3,750.00",Waters Edge Arts Ltd,
Manchester City Council,Chief Executives,Landline Telephone Charges,02.07.2020,5101093061,"£113,091.00",8x8 UK Ltd,
Manchester City Council,Chief Executives,Landline Telephone Charges,02.07.2020,5101093061,"£6,320.00",8x8 UK Ltd,
Manchester City Council,Chief Executives,Landline Telephone Charges,02.07.2020,5101093061,"£6,000.00",8x8 UK Ltd,
Manchester City Council,Chief Executives,Landline Telephone Charges,02.07.2020,5101093061,"£5,100.00",8x8 UK Ltd,
Manchester City Council,Chief Executives,ICT Support & Maintenance,02.07.2020,5101093062,"£13,300.00",8x8 UK Ltd,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,02.07.2020,5101093038,"£25,000.00",Manchester Mind,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,02.07.2020,5101093054,"£2,350.00",Royal Oak Community Centre,
Manchester City Council,Chief Executives,Legal Fees,02.07.2020,1906881919,"£2,900.00",Information Commissioner,
Manchester City Council,Chief Executives,Compensation Payments,02.07.2020,5101093052,"£1,760.50",Eversheds Llp,
Manchester City Council,Regeneration Finance,Electricity,02.07.2020,1906905556,"£1,926.12",E-On,
Manchester City Council,Manchester Leisure,Equipment,03.07.2020,5101093271,"£1,095.60",Arqadia Ltd,
Manchester City Council,Manchester Leisure,Equipment,03.07.2020,5101093152,£750.00,Massey & Harris (Engrg) Ltd,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,03.07.2020,5101093177,"£1,950.00",Groundwork Landscapes Ltd,
Manchester City Council,Manchester Leisure,Professional fees,03.07.2020,5101093273,£750.00,Jacobs UK Ltd,
Manchester City Council,Manchester Leisure,Professional fees,03.07.2020,1906894409,£500.00,Elonda Uk Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,03.07.2020,5101093225,"£1,675.80",F.R.Sharrock Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,03.07.2020,5101093286,"£1,299.50",R & M Developments Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,03.07.2020,5101093282,"£1,038.50",R & M Developments Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,03.07.2020,5101093291,"£1,038.50",R & M Developments Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Equipment,03.07.2020,5101092993,£642.20,M-R-S Communications Ltd,
Manchester City Council,Hospitality + Trading Services,Professional fees,03.07.2020,5101093273,"£1,200.00",Jacobs UK Ltd,
Manchester City Council,Hospitality + Trading Services,Royalties Payable,03.07.2020,1906905911,"£3,733.00",Manchester Communication Academy,
Manchester City Council,Environment and Operations,Construction Works,03.07.2020,5101093044,"£72,260.81",Colas Limited,
Manchester City Council,Environment and Operations,Construction Works,03.07.2020,5101093172,"£6,500.00",Transport for Greater Manchester,
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,03.07.2020,5101093257,"£7,500.00",Salford Royal Hospitals Nhs Trust,
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,03.07.2020,5101093222,"£3,750.00",Safe Families for Children,
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,03.07.2020,5101093186,"£1,428.00",Healthy Body Healthy Mind CIC,
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,03.07.2020,5101093191,"£1,428.00",Healthy Body Healthy Mind CIC,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093312,"£6,646.61",The Together Trust,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093262,"£5,802.63",Nugent House School,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093260,"£4,625.00",Moorfield Learning Centre,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093332,"£4,133.24",The Together Trust,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093331,"£3,406.87",The Together Trust,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093261,"£2,704.80",Nugent House School,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093311,"£2,204.80",The Together Trust,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093325,"£1,060.15",The Together Trust,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093314,"£1,045.59",The Together Trust,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093329,£847.90,The Together Trust,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093259,£800.00,Link Mediation Services,
Manchester City Council,Childrens & Education Services,Payments for services,03.07.2020,5101093249,£630.00,DHP Care Limited,
Manchester City Council,Adult Social Care,Training and Development,03.07.2020,1906886659,"£1,305.90",Rene Barrett Ltd,
Manchester City Council,Adult Social Care,Rents,03.07.2020,5101093265,"£85,987.57",Accommodation Links Ltd,
Manchester City Council,Adult Social Care,Rents,03.07.2020,1906905894,"£1,783.70",Tulloch Property Services,
Manchester City Council,Adult Social Care,Contract Cleaning External,03.07.2020,5101093252,"£1,350.00",Fishers Cleaning Services Ltd,
Manchester City Council,Adult Social Care,Security,03.07.2020,5101093106,"£11,256.00",UNIQUE SPECIALIST SERVICES,
Manchester City Council,Adult Social Care,Security,03.07.2020,5101093105,"£4,221.00",UNIQUE SPECIALIST SERVICES,
Manchester City Council,Adult Social Care,Security,03.07.2020,5101093107,"£4,221.00",UNIQUE SPECIALIST SERVICES,
Manchester City Council,Adult Social Care,Security,03.07.2020,5101093103,"-£4,020.00",UNIQUE SPECIALIST SERVICES,
Manchester City Council,Adult Social Care,Security,03.07.2020,5101093103,"-£5,058.50",UNIQUE SPECIALIST SERVICES,
Manchester City Council,Adult Social Care,Security,03.07.2020,5101093103,"-£15,075.00",UNIQUE SPECIALIST SERVICES,
Manchester City Council,Adult Social Care,Stationery,03.07.2020,5101093288,£742.86,Banner Group Limited,
Manchester City Council,Adult Social Care,Professional fees,03.07.2020,1906899769,"£2,880.00",MJJ Social Care Consulting Ltd,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.07.2020,5101093157,"£14,108.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.07.2020,5101093173,"£12,700.36",Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.07.2020,5101093176,"£12,700.36",Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.07.2020,5101093251,"£7,295.00",Hala Guest House,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.07.2020,5101093264,"£2,415.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.07.2020,5101093263,"£1,740.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.07.2020,5101093174,"-£12,700.36",Redacted Personal Information,
Manchester City Council,Adult Social Care,Payments for services,03.07.2020,1906904447,"£5,833.50",Exchange Supplies,
Manchester City Council,Adult Social Care,Supported Accommodation,03.07.2020,5101093334,"£2,520.00",SLC Paragon,
Manchester City Council,Adult Social Care,Supported Accommodation,03.07.2020,5101093336,"£2,520.00",SLC Paragon,
Manchester City Council,Adult Social Care,Supported Accommodation,03.07.2020,5101093337,"£2,520.00",SLC Paragon,
Manchester City Council,Adult Social Care,Supported Accommodation,03.07.2020,5101093338,"£2,520.00",SLC Paragon,
Manchester City Council,Adult Social Care,Supported Accommodation,03.07.2020,5101093339,"£2,520.00",SLC Paragon,
Manchester City Council,Adult Social Care,Extra Care Sheltered Housing Payments,03.07.2020,5101093164,"£13,870.64",Independent Living Alliance,
Manchester City Council,Corporate Services,Retirement Costs,03.07.2020,5101093171,"£1,038.60",Transport for Greater Manchester,
Manchester City Council,Corporate Services,Travel,03.07.2020,5101093140,-£551.14,Transport for Greater Manchester,
Manchester City Council,Corporate Services,Travel,03.07.2020,5101093153,-£626.77,Transport for Greater Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,03.07.2020,5101093138,£870.30,Transport for Greater Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,03.07.2020,5101093129,£837.00,Transport for Greater Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,03.07.2020,5101093159,-£518.20,Transport for Greater Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,03.07.2020,5101093156,-£581.73,Transport for Greater Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,03.07.2020,5101093140,-£674.63,Transport for Greater Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,03.07.2020,5101093150,-£818.36,Transport for Greater Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,03.07.2020,5101093140,-£984.68,Transport for Greater Manchester,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,03.07.2020,5101093140,-£993.07,Transport for Greater Manchester,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,03.07.2020,5101093180,£864.04,Furniture Resource Centre Ltd,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,03.07.2020,5101093166,£821.39,Furniture Resource Centre Ltd,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,03.07.2020,5101093201,£633.36,Furniture Resource Centre Ltd,
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,03.07.2020,5101093273,£689.00,Jacobs UK Ltd,
Manchester City Council,Housing Revenue Account,Rents,03.07.2020,5101093254,"£9,352.16",M J Mapp,
Manchester City Council,Housing Revenue Account,Professional fees,03.07.2020,5101093273,£500.00,Jacobs UK Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.07.2020,5101093327,"£27,988.95",Rexel UK Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.07.2020,5101093335,"£6,069.47",Rexel UK Ltd,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.07.2020,5101093333,"£5,636.80",Pts Plumbing Trade Supplies,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.07.2020,5101093333,"£4,325.96",Pts Plumbing Trade Supplies,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.07.2020,5101093330,£820.27,Rexel UK Ltd,
Manchester City Council,Chief Executives,Funeral and coroner related services,03.07.2020,1906905785,"£1,816.49",Redacted Personal Information,
Manchester City Council,Chief Executives,Postage,03.07.2020,5101093253,"£2,910.00",Royal Mail Group Plc,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.07.2020,5101093270,"£2,000.00",The Arch Company Properties Ltd,
Manchester City Council,Chief Executives,Compensation Payments,03.07.2020,1906905915,£500.00,Redacted Personal Information,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,03.07.2020,5101093328,"£1,153.62",DT Electrical UK Ltd,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,03.07.2020,5101093326,"-£1,152.62",DT Electrical UK Ltd,
Manchester City Council,Regeneration Finance,Professional fees,03.07.2020,5101093273,"£7,139.00",Jacobs UK Ltd,
Manchester City Council,Regeneration Finance,Professional fees,03.07.2020,5101093273,"£6,600.00",Jacobs UK Ltd,
Manchester City Council,Regeneration Finance,Professional fees,03.07.2020,5101093273,"£5,641.50",Jacobs UK Ltd,
Manchester City Council,Regeneration Finance,Professional fees,03.07.2020,5101093273,"£5,000.00",Jacobs UK Ltd,
Manchester City Council,Regeneration Finance,Professional fees,03.07.2020,5101093273,"£4,643.57",Jacobs UK Ltd,
Manchester City Council,Regeneration Finance,Professional fees,03.07.2020,5101093273,"£3,027.00",Jacobs UK Ltd,
Manchester City Council,Regeneration Finance,Professional fees,03.07.2020,5101093278,"£1,551.00",P Mcguinness & Co Ltd,
Manchester City Council,Regeneration Finance,Professional fees,03.07.2020,5101093273,"£1,007.00",Jacobs UK Ltd,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093209,"£1,257.68",TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093211,"£1,218.94",TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093212,£971.24,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093216,£954.32,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093187,£914.82,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093214,£910.08,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093213,£878.48,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093197,£790.00,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093207,£639.90,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093217,£623.00,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093183,£608.30,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093193,£595.66,TARMAC,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.07.2020,5101093184,£559.01,TARMAC,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.07.2020,5101093163,£848.87,Transport for Greater Manchester,
Manchester City Council,Highways Services,Payments to Sub-Contractors,03.07.2020,5101093162,£585.00,Buchanan computing Limited,
Manchester City Council,Highways Services,Hire of Machinery,03.07.2020,5101093256,"£3,000.00",Mailbox Mouldings International Ltd,
Manchester City Council,Highways Services,Hire of Machinery,03.07.2020,5101093255,"-£3,000.00",Mailbox Mouldings International Ltd,
Manchester City Council,Highways Services,Professional fees,03.07.2020,5101093137,"£3,049.50",Pell Frischmann Consultants Ltd,
Manchester City Council,Highways Services,Purchase of stores for re-distribution,03.07.2020,5101093299,"£2,398.40",Benchmark Building Supplies Ltd,
Manchester City Council,Highways Services,Purchase of stores for re-distribution,03.07.2020,5101093160,"£1,341.76",Instarmac Group Ltd,
Manchester City Council,Highways Services,Purchase of stores for re-distribution,03.07.2020,5101093301,£570.60,Benchmark Building Supplies Ltd,
Manchester City Council,Manchester Leisure,Equipment,06.07.2020,5101093374,"£3,344.17",Cromwell polythene limited,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,06.07.2020,5101093426,"£3,617.72",Community Security (North West),
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,06.07.2020,5101093355,"£5,274.50",Wythenshawe Waste Warriors,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,06.07.2020,5101093356,"£4,787.00",Ladybarn Community Hub,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,06.07.2020,5101093369,"£1,000.00",The Bridgeman Art Library Ltd,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,06.07.2020,1906907521,"£1,132.50",W.F.Howes Ltd,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,06.07.2020,1906907522,£912.00,W.F.Howes Ltd,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,06.07.2020,5101093370,"£15,438.26",Carlton Fuels Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,06.07.2020,5101093427,"£7,506.40",Fast Hire UK,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,06.07.2020,5101093360,"£1,026.55",R & M Developments Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,06.07.2020,5101093361,£830.80,R & M Developments Ltd,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,06.07.2020,5101093362,£830.80,R & M Developments Ltd,
Manchester City Council,Hospitality + Trading Services,Machinery and equipment repairs,06.07.2020,5101093393,"£2,934.78",Fast Hire UK,
Manchester City Council,Childrens & Education Services,Training and Development,06.07.2020,5101093385,"£4,200.00",Capita Business Services Ltd,
Manchester City Council,Childrens & Education Services,Rents,06.07.2020,1906907743,£900.00,Redacted Personal Information,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,06.07.2020,5101093352,"-£6,075.00",T/A Schools Direct,
Manchester City Council,Childrens & Education Services,Professional fees,06.07.2020,5101093398,"£26,563.00",One Education Ltd,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,06.07.2020,5101093378,"£10,104.00",UTC@MediaCityUK,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,06.07.2020,5101093383,"£5,375.00",Ladywood School,
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,06.07.2020,5101093351,£892.50,Healthy Body Healthy Mind CIC,
Manchester City Council,Childrens & Education Services,Payments for services,06.07.2020,5101093076,"£60,970.00",Manchester Metropolitan University,
Manchester City Council,Adult Social Care,Rents,06.07.2020,5101093376,"£58,454.08",B & A Properties,
Manchester City Council,Adult Social Care,Rents,06.07.2020,1906907742,"£4,029.66",Redacted Personal Information,
Manchester City Council,Adult Social Care,Rents,06.07.2020,1906906893,"£1,950.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Rents,06.07.2020,1906907740,"£1,650.00",Evermount Homes LTD,
Manchester City Council,Adult Social Care,Rents,06.07.2020,1906907741,"£1,100.00",Real Estates Group Ltd,
Manchester City Council,Adult Social Care,Rents,06.07.2020,5101093386,£912.27,Houses4Homes 4U Ltd,
Manchester City Council,Adult Social Care,Rents,06.07.2020,1906906894,£700.00,Montgomery Manchester Limited,
Manchester City Council,Adult Social Care,Funeral and coroner related services,06.07.2020,5101093368,"£1,462.00",Greater Manchester Funeral Service,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,06.07.2020,5101093377,"£8,720.00",Redacted Personal Information,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,06.07.2020,5101093258,"£35,000.00",Healthwatch Manchester,
