Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,
Manchester City Council,Hospitality + Trading Services,Gas,02.12.2021,1907474130,"£3,110.66",Gazprom Energy,,,,
Manchester City Council,Childrens & Education Services,Gas,02.12.2021,1907474264,"£1,924.12",Gazprom Energy,,,,
Manchester City Council,Childrens & Education Services,Contract Cleaning External,02.12.2021,5105789040,"£1,170.00",Superkids Levenshulme Ltd,,,,
Manchester City Council,Childrens & Education Services,Professional fees,02.12.2021,5105788970,"£3,845.50",Weightmans LLP Solicitors,,,,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,02.12.2021,5105789073,£763.00,Gatley Primary School,,,,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,02.12.2021,5105789036,"£2,604.00",The Laurus Trust,,,,
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,02.12.2021,5105788907,"£10,000.00",One Education Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,02.12.2021,5105789027,"£20,234.68",Time Specialist Support Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,02.12.2021,5105789026,"£4,948.13",Time Specialist Support Ltd,,,,
Manchester City Council,Childrens & Education Services,Day Care Payments,02.12.2021,5105788943,£770.00,Village Nursery & Pre-School,,,,
Manchester City Council,Adult Social Care,Gas,02.12.2021,1907474163,£537.96,Gazprom Energy,,,,
Manchester City Council,Adult Social Care,Gas,02.12.2021,1907474210,£519.26,Gazprom Energy,,,,
Manchester City Council,Adult Social Care,Gas,02.12.2021,1907474246,£517.89,Gazprom Energy,,,,
Manchester City Council,Adult Social Care,Rents,02.12.2021,5105789055,"£8,961.84",Eeven Homes Ltd.,,,,
Manchester City Council,Adult Social Care,Security,02.12.2021,5105788912,"£1,377.00",UNIQUE SPECIALIST SERVICES,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",02.12.2021,5105789022,"£1,150.50",Camilla Carpets Ltd,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",02.12.2021,5105789024,£932.70,Camilla Carpets Ltd,,,,
Manchester City Council,Adult Social Care,Building Materials for direct delivery,02.12.2021,5105788935,£601.54,Supra UK Ltd,,,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,02.12.2021,5105789038,-£883.46,Manchester People First,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.12.2021,5105788976,"£2,500.00",Sow the City,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.12.2021,5105788929,"£1,004.43",Quays Housing,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,02.12.2021,5105788810,"£6,259.75",Saheli,,,,
Manchester City Council,Adult Social Care,Home Care ,02.12.2021,1907388219,£727.02,GEP Support Ltd,,,,
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,02.12.2021,5105789023,"£38,315.96",Chrysalis Home Care Group Ltd,,,,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.12.2021,5105789041,"£37,976.12",ISG Construction Limited,,,,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.12.2021,5105789002,"£16,479.87",Kaberry Construction Ltd,,,,
Manchester City Council,Corporate Services,"Consumable items eg Toilet rolls, soap etc",02.12.2021,1907474813,"£3,685.59",COBWEB SOLUTIONS LIMIT,,,,
Manchester City Council,Housing General Fund,Building Works,02.12.2021,5105788991,£560.00,Jacobs UK Ltd,,,,
Manchester City Council,Housing General Fund,Building Works,02.12.2021,1907474802,"£236,846.00",Muse Developments Ltd,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474329,£893.56,Scottish & Southern Energy Plc,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474375,£827.43,Scottish & Southern Energy Plc,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474385,£747.21,Scottish & Southern Energy Plc,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474365,£684.04,Scottish & Southern Energy Plc,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474347,£651.16,Scottish & Southern Energy Plc,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474345,£647.39,Scottish & Southern Energy Plc,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474374,£558.72,Scottish & Southern Energy Plc,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474349,£551.03,Scottish & Southern Energy Plc,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474312,£524.24,Scottish & Southern Energy Plc,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474281,"£4,859.39",Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474152,"£4,020.70",Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474282,"£3,761.23",Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474241,"£1,027.77",Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474114,£864.14,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474250,£820.46,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474190,£785.38,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474134,£768.53,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474192,£749.88,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474254,£721.51,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474206,£719.48,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474260,£679.08,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474262,£650.62,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474115,£612.00,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474159,£585.23,Gazprom Energy,,,,
Manchester City Council,Housing Revenue Account,Gas,02.12.2021,1907474255,£507.65,Gazprom Energy,,,,
Manchester City Council,Chief Executives,Training and Development,02.12.2021,5105788934,"£2,750.00",North West Employers Ltd,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.12.2021,5105789079,"£1,106.51",Redacted Personal Information,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.12.2021,5105789043,"£1,787.31",Redacted Personal Information,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.12.2021,5105789071,£714.45,Redacted Personal Information,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.12.2021,5105789048,£744.98,Redacted Personal Information,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.12.2021,5105789044,£573.42,Redacted Personal Information,,,,
Manchester City Council,Chief Executives,Hire of Equipment,02.12.2021,5105788954,"£1,344.75",Tube UK Ltd,,,,
Manchester City Council,Chief Executives,Professional fees,02.12.2021,5105788944,"£4,131.25",Weightmans LLP Solicitors,,,,
Manchester City Council,Chief Executives,Professional fees,02.12.2021,5105788962,"£2,425.00",Weightmans LLP Solicitors,,,,
Manchester City Council,Chief Executives,Professional fees,02.12.2021,5105788964,"£2,288.86",Weightmans LLP Solicitors,,,,
Manchester City Council,Chief Executives,Professional fees,02.12.2021,5105788965,"£1,918.75",Weightmans LLP Solicitors,,,,
Manchester City Council,Chief Executives,Professional fees,02.12.2021,5105788949,"£1,762.50",Weightmans LLP Solicitors,,,,
Manchester City Council,Chief Executives,Professional fees,02.12.2021,5105788961,"£1,662.50",Weightmans LLP Solicitors,,,,
Manchester City Council,Chief Executives,Professional fees,02.12.2021,5105788966,"£1,294.50",Weightmans LLP Solicitors,,,,
Manchester City Council,Chief Executives,Professional fees,02.12.2021,5105788963,£550.00,Weightmans LLP Solicitors,,,,
Manchester City Council,Chief Executives,Professional fees,02.12.2021,5105788946,"£1,406.81",Waddington & Son Solicitors,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.12.2021,1907470505,"£1,500.00",G J Poston Ltd,,,,
Manchester City Council,Chief Executives,Postage,02.12.2021,5105789033,"£5,516.88",Whistl North Ltd,,,,
Manchester City Council,Chief Executives,Postage,02.12.2021,5105788789,"£5,085.37",Whistl North Ltd,,,,
Manchester City Council,Chief Executives,ICT Sup & Maintnance,02.12.2021,5105788905,£690.00,Finastra,,,,
Manchester City Council,Chief Executives,Compensation Payments,02.12.2021,1907470503,£650.00,18 St John Street Chambers,,,,
Manchester City Council,Chief Executives,Compensation Payments,02.12.2021,1907470400,"£1,577.80",Advanced Child Care Assessments,,,,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,02.12.2021,5105788915,"£74,369.31",ENGIE Services Ltd,,,,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,02.12.2021,5105788916,"£40,943.85",ENGIE Services Ltd,,,,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,02.12.2021,5105788914,"£39,513.28",ENGIE Services Ltd,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474280,"£97,275.65",Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474215,"£9,388.99",Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474202,"£3,482.47",Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474240,"£1,940.39",Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474175,"£1,936.06",Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474104,"£1,761.17",Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474261,"£1,268.01",Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474178,£882.98,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474186,£872.98,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474165,£862.12,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474185,£707.24,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474204,£700.59,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474295,£694.61,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474270,£687.32,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474252,£660.26,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474181,£657.16,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474258,£631.46,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474279,£598.47,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474142,£592.90,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474169,£575.83,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474109,£555.23,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474201,£529.12,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474189,£521.68,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Gas,02.12.2021,1907474193,£503.17,Gazprom Energy,,,,
Manchester City Council,Regeneration Finance,Rents,02.12.2021,1907469398,"£15,044.41",Savills (UK) Ltd,,,,
Manchester City Council,Regeneration Finance,Hire of Premises,02.12.2021,5105788783,"£2,160.00",Grove Village Residents association,,,,
Manchester City Council,Regeneration Finance,Hire of Premises,02.12.2021,5105789034,"£4,270.00",Levenshulme Inspire,,,,
Manchester City Council,Highways Services,Electricity,02.12.2021,1907474386,"£2,849.80",Scottish & Southern Energy Plc,,,,
Manchester City Council,Highways Services,Electricity,02.12.2021,1907474387,"£2,844.04",Scottish & Southern Energy Plc,,,,
Manchester City Council,Highways Services,Electricity,02.12.2021,1700127338,"-£2,849.80",Scottish & Southern Energy Plc,,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.12.2021,5105788930,"£7,425.00",J.Hopkins (Contractors) Ltd.,,,,
Manchester City Council,Highways Services,Professional fees,02.12.2021,5105788948,"£8,190.00",Waterman Aspen Ltd,,,,
Manchester City Council,Highways Services,Professional fees,02.12.2021,5105789003,"£1,365.00",Mace Cost Consultancy Ltd,,,,
Manchester City Council,Highways Services,Professional fees,02.12.2021,5105788984,"-£1,365.00",Mace Cost Consultancy Ltd,,,,
Manchester City Council,Insurance Fund,Misc Insrnce Premium,02.12.2021,1907474807,"£5,387.06",CPE MANCHESTER 01 S.a r.l,,,,
Manchester City Council,Manchester Leisure,Rents,03.12.2021,1907393263,"£8,250.00",Mason Owen Property,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.12.2021,5105789409,"£1,389.70",The Helping Hand Company Ltd,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.12.2021,5105788998,"£1,110,323.54",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.12.2021,5105788999,"£87,994.52",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.12.2021,5105788995,"£81,666.60",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.12.2021,5105789011,"£72,416.59",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,03.12.2021,5105788996,"£43,332.82",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Equipment,03.12.2021,5105789273,"£12,132.00",MGB Plastics Limited,,,,
Manchester City Council,Manchester Leisure,Equipment,03.12.2021,5105789353,"£2,000.00",Willfab Ltd,,,,
Manchester City Council,Manchester Leisure,Equipment,03.12.2021,1907475542,£596.25,A   M MARQUEES/EVENTS LTD,,,,
Manchester City Council,Manchester Leisure,Equipment,03.12.2021,1907475587,"£2,005.25",SPORTSERVE LIMITED,,,,
Manchester City Council,Manchester Leisure,Equipment,03.12.2021,1907475609,£757.08,UNICOL ENGINEERING,,,,
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",03.12.2021,1907475533,"£1,150.00",AWESOMEMERCHANDISE,,,,
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",03.12.2021,1907475526,£743.00,AWESOMEMERCHANDISE,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.12.2021,5105789201,£590.00,Huperade Ltd,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.12.2021,5105789308,£594.00,Rigby Taylor Ltd,,,,
Manchester City Council,Manchester Leisure,ClothsUniformLaundry,03.12.2021,5105789141,"£1,206.40",Cornthwaite Tree Care,,,,
Manchester City Council,Manchester Leisure,ClothsUniformLaundry,03.12.2021,5105789142,"-£1,206.40",Cornthwaite Tree Care,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.12.2021,5105788994,"£30,333.34",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.12.2021,5105788992,"£7,040.29",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.12.2021,5105788993,"£4,080.54",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.12.2021,5105789208,"£1,600.00",Redacted Personal Information,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.12.2021,5105789207,£700.00,Redacted Personal Information,,,,
Manchester City Council,Manchester Leisure,I T Provision,03.12.2021,5105789383,"£26,998.96",Cancom UK&I,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.12.2021,5105789130,"£5,000.00",Business Working With Wythenshawe,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.12.2021,5105789255,"£2,000.00",Revolution Youth,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,03.12.2021,1907475480,£607.20,SP * EASTENDPRESSWHOLE,,,,
Manchester City Council,Manchester Leisure,Payments to Contractors,03.12.2021,5105789000,"£117,020.03",Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Supporting People Payments,03.12.2021,5105789386,£500.00,Manchester Mind,,,,
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,03.12.2021,5105789019,"£29,195.78",Biffa Municipal Limited,,,,
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,03.12.2021,5105789018,"£2,300.00",Biffa Municipal Limited,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,03.12.2021,5105789199,"£17,801.27",Standard Fuels Oils,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,03.12.2021,5105789157,"£2,250.97",Winners Contract Hire Ltd,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,03.12.2021,5105789158,"£1,370.98",Winners Contract Hire Ltd,,,,
Manchester City Council,Hospitality + Trading Services,Equipment,03.12.2021,1907475538,"£4,415.87",Stapletons Tyre Services,,,,
Manchester City Council,Hospitality + Trading Services,Equipment,03.12.2021,1907475512,"£3,884.98",Stapletons Tyre Services,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,03.12.2021,5105789339,"£5,654.00",Gibsons Garden Machinery Limited,,,,
Manchester City Council,Hospitality + Trading Services,Professional fees,03.12.2021,5105789239,£503.50,Jacobs UK Ltd,,,,
Manchester City Council,Environment and Operations,Construction Works,03.12.2021,5105789359,"£433,385.56",Bethell Construction Ltd,,,,
Manchester City Council,Environment and Operations,Construction Works,03.12.2021,5105789358,"£304,794.26",Bethell Construction Ltd,,,,
Manchester City Council,Environment and Operations,Construction Works,03.12.2021,5105789357,"£201,262.74",Bethell Construction Ltd,,,,
Manchester City Council,Environment and Operations,Construction Works,03.12.2021,5105788950,"£27,600.00",J.Hopkins (Contractors) Ltd.,,,,
Manchester City Council,Environment and Operations,Construction Works,03.12.2021,5105788988,"£6,903.10",J.Hopkins (Contractors) Ltd.,,,,
