Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,02.11.2021,5105784340,"£3,045.00",Alt Payee Acorn Care & Education,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,02.11.2021,5105784238,"£2,280.00",Redacted Personal Information,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,02.11.2021,5105784239,"£2,090.00",JKR Travel,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,02.11.2021,5105784237,"£1,840.00",RK Travel Ltd,,,,
Manchester City Council,Childrens & Education Services,Professional fees,02.11.2021,5105784089,"£16,511.00",Leisure For Autism,,,,
Manchester City Council,Childrens & Education Services,Professional fees,02.11.2021,1907386740,£650.00,18 St John Street Chambers,,,,
Manchester City Council,Childrens & Education Services,Professional fees,02.11.2021,1907386743,£550.00,Redacted Personal Information,,,,
Manchester City Council,Childrens & Education Services,Legal Fees,02.11.2021,1907388174,"£1,000.00",Redacted Personal Information,,,,
Manchester City Council,Adult Social Care,Rents,02.11.2021,1907388171,"£1,190.00",HOME PROPERTY SOLUTIONS,,,,
Manchester City Council,Adult Social Care,Rents,02.11.2021,1907388169,£500.00,ROBYN LEWIS,,,,
Manchester City Council,Adult Social Care,Equipment,02.11.2021,5105784243,"£1,499.25",NRS Healthcare,,,,
Manchester City Council,Adult Social Care,Equipment,02.11.2021,5105784275,£560.00,Tunstall Healthcare (UK) Ltd,,,,
Manchester City Council,Adult Social Care,Payments for services,02.11.2021,5105784047,"£9,700.00",Slimming World,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,02.11.2021,5105784273,"£10,250.00",Mosscare St Vincent's Housing,,,,
Manchester City Council,Adult Social Care,Extra Care Sheltd HP,02.11.2021,5105784127,"£41,083.71",Homecare Support,,,,
Manchester City Council,Corporate Services,Fees,02.11.2021,1907381066,"£4,192.40",CDER GROUP LIMITED,,,,
Manchester City Council,Corporate Services,Tracing fees,02.11.2021,5105784339,"£2,099.88",Experian Limited,,,,
Manchester City Council,Corporate Services,WPS Awards,02.11.2021,5105784361,£968.87,Furniture Resource Centre Ltd,,,,
Manchester City Council,Corporate Services,WPS Awards,02.11.2021,5105784302,£880.70,Furniture Resource Centre Ltd,,,,
Manchester City Council,Corporate Services,Fees,02.11.2021,1907381066,"-£4,192.40",CDER GROUP LIMITED,,,,
Manchester City Council,Corporate Services,Construction Works,02.11.2021,5105784308,"£15,631.44",A T G Access Ltd,,,,
Manchester City Council,Chief Executives,Agency staff provision,02.11.2021,5105784240,"£17,131.00",Gatenby Sanderson,,,,
Manchester City Council,Chief Executives,Agency staff provision,02.11.2021,5105784234,"£16,992.00",Gatenby Sanderson,,,,
Manchester City Council,Chief Executives,Agency staff provision,02.11.2021,5105784121,"£11,264.50",Search Consultancy Ltd,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.11.2021,5105784313,£545.00,Redacted Personal Information,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.11.2021,5105784314,£540.80,Redacted Personal Information,,,,
Manchester City Council,Chief Executives,Professional fees,02.11.2021,5105784293,"£13,750.00",Metro Dynamics Ltd,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.11.2021,5105784346,"£6,498.00",Kane Funeral Services,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.11.2021,5105784347,"£1,145.72",Kane Funeral Services,,,,
Manchester City Council,Chief Executives,Grant and subscriptions awarded,02.11.2021,1907388175,"£32,415.00",SOLICITORS REGULATION AUTHORITY,,,,
Manchester City Council,Chief Executives,Grant and subscriptions awarded,02.11.2021,5105784292,"£3,750.00",Waters Edge Arts Ltd,,,,
Manchester City Council,Chief Executives,Grant and subscriptions awarded,02.11.2021,5105784303,"-£3,750.00",Waters Edge Arts Ltd,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,02.11.2021,5105784317,"£2,062.23",The Arch Company Properties Ltd,,,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,02.11.2021,5105784420,"£2,326.47",Alliance Disposables Ltd,,,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,02.11.2021,5105784418,£823.40,Alliance Disposables Ltd,,,,
Manchester City Council,Regeneration Finance,Legal Fees,02.11.2021,1907386830,"£6,400.00",Redacted Personal Information,,,,
Manchester City Council,Highways Services,Compensation Payments,02.11.2021,1907388173,"£7,966.00",WARD RIDER SOLICITORS,,,,
Manchester City Council,Highways Services,Compensation Payments,02.11.2021,1907386809,£743.00,Department For Work & Pensions,,,,
Manchester City Council,Highways Services,Compensation Payments,02.11.2021,1907386741,£725.00,Department For Work & Pensions,,,,
Manchester City Council,Highways Services,Compensation Payments,02.11.2021,1907381700,£688.00,Department For Work & Pensions,,,,
Manchester City Council,Highways Services,Compensation Payments,02.11.2021,1907374198,£600.00,Cobden House Chambers,,,,
Manchester City Council,Highways Services,Compensation Payments,02.11.2021,1907381055,£500.00,Redacted Personal Information,,,,
Manchester City Council,General Fund,Grant and subscriptions awarded,02.11.2021,1907378684,"£155,799.10",Department of Health,,,,
Manchester City Council,Insurance Fund,Insurance,02.11.2021,5105784360,"£5,693.62",Zurich Insurance,,,,
Manchester City Council,Insurance Fund,Insurance,02.11.2021,5105784362,"£4,439.24",Zurich Insurance,,,,
Manchester City Council,Insurance Fund,Insurance,02.11.2021,5105784364,"£2,957.37",Zurich Insurance,,,,
Manchester City Council,Insurance Fund,Insurance,02.11.2021,5105784358,£832.66,Zurich Insurance,,,,
Manchester City Council,Manchester Leisure,GRIR,03.11.2021,5105784577,-£525.00,Imageit,,,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,03.11.2021,5105784587,£720.00,Clean-Up UK Limited,,,,
Manchester City Council,Manchester Leisure,Responsive Repairs Work,03.11.2021,5105784512,"£134,715.24",Engie Regeneration Ltd,,,,
Manchester City Council,Manchester Leisure,Contract Cleaning External,03.11.2021,5105784586,"£1,620.00",Clean-Up UK Limited,,,,
Manchester City Council,Manchester Leisure,Equipment,03.11.2021,5105784588,"£1,200.00",Clean-Up UK Limited,,,,
Manchester City Council,Manchester Leisure,Equipment,03.11.2021,5105784378,£650.05,The Bearing Mart Ltd,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.11.2021,5105784529,"£1,250.00",Flowprotect Ltd,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.11.2021,5105784407,£625.00,CPD Property Services,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,03.11.2021,5105784409,£602.30,Landscape Supply Company,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,03.11.2021,5105784714,"£2,737.50",Clean-Up UK Limited,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,03.11.2021,5105784502,"£1,560.00",Rigby Taylor Ltd,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,03.11.2021,5105784715,£500.00,Clean-Up UK Limited,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2021,5105784443,"£11,200.00",HouseMark Ltd,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2021,5105784039,"£3,873.33",Greenwich Leisure Limited,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2021,5105784040,"£2,736.48",Greenwich Leisure Limited,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2021,5105784041,"£2,056.02",Greenwich Leisure Limited,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2021,5105784043,"£1,190.22",Greenwich Leisure Limited,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.11.2021,5105784543,-£547.50,Reach Publishing Services Ltd,,,,
Manchester City Council,Manchester Leisure,I T Provision,03.11.2021,5105784472,"£5,197.20",Axiell ALM Ltd,,,,
Manchester City Council,Manchester Leisure,I T Provision,03.11.2021,5105784544,"-£5,197.20",Axiell ALM Ltd,,,,
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,03.11.2021,5105784312,"£2,300.00",Biffa Municipal Limited,,,,
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,03.11.2021,5105784280,"£2,200.00",Biffa Municipal Limited,,,,
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,03.11.2021,5105784311,"£2,100.00",Biffa Municipal Limited,,,,
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,03.11.2021,5105784278,"£1,800.00",Biffa Municipal Limited,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,03.11.2021,5105784387,£889.20,Advanced Vehicle Technicians Ltd,,,,
Manchester City Council,Hospitality + Trading Services,Professional fees,03.11.2021,1907386775,"£26,235.00",Mobiloo,,,,
Manchester City Council,Environment and Operations,Construction Works,03.11.2021,5105784403,"£1,805.00",Wilde Consultants Ltd,,,,
Manchester City Council,Childrens & Education Services,Rates,03.11.2021,5105784555,£950.13,Tiddlywinks Day Nursery Ltd,,,,
Manchester City Council,Childrens & Education Services,Contract Cleaning External,03.11.2021,5105784429,"£2,231.25",Brighter Beginnings (Charlestown),,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,03.11.2021,5105784425,"£8,970.00",CW Travel,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,03.11.2021,5105784575,"£7,575.00",AA Buses,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,03.11.2021,5105784309,"£7,527.00",PDR Travel Ltd,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,03.11.2021,5105784236,"£2,470.00",Liddle Hackney Carriage,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,03.11.2021,5105784287,"£1,877.50",Cresta Car Hire,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,03.11.2021,5105784286,"£1,497.30",Cresta Car Hire,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,03.11.2021,5105784290,£570.00,Cresta Car Hire,,,,
Manchester City Council,Childrens & Education Services,Furniture,03.11.2021,5105784713,"£2,300.00",H Jenkinson & Co Ltd.,,,,
Manchester City Council,Childrens & Education Services,Furniture,03.11.2021,5105784699,£871.58,Eps Supplies Ltd,,,,
Manchester City Council,Childrens & Education Services,Professional fees,03.11.2021,1907386805,£850.00,Redacted Personal Information,,,,
Manchester City Council,Childrens & Education Services,Professional fees,03.11.2021,1907386709,£790.69,Pickering Psychology Services Ltd,,,,
Manchester City Council,Childrens & Education Services,Professional fees,03.11.2021,1907386786,£600.00,Central Chambers,,,,
Manchester City Council,Childrens & Education Services,Professional fees,03.11.2021,1907381392,£550.00,Central Chambers,,,,
Manchester City Council,Childrens & Education Services,Professional fees,03.11.2021,1907386700,£550.00,Redacted Personal Information,,,,
Manchester City Council,Childrens & Education Services,Professional fees,03.11.2021,1907385178,£514.63,Hart Psychological Consulting,,,,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,03.11.2021,5105784402,"£13,823.64",Brentwood High School,,,,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,03.11.2021,5105784582,"£5,937.00",Springwood Primary School,,,,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,03.11.2021,5105784580,"£4,750.00",Springwood Primary School,,,,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,03.11.2021,5105784404,"£2,605.00",Bolshaw Primary School,,,,
Manchester City Council,Adult Social Care,Training and Development,03.11.2021,1907374134,£995.00,Interface Enterprises Ltd,,,,
Manchester City Council,Adult Social Care,Rents,03.11.2021,5105784556,"£33,319.74",Amco Management,,,,
Manchester City Council,Adult Social Care,Rents,03.11.2021,5105784523,"£16,875.73",Manchester Bumblebee Ltd,,,,
Manchester City Council,Adult Social Care,Rents,03.11.2021,5105784285,"£12,743.32",K L Properties,,,,
Manchester City Council,Adult Social Care,Rents,03.11.2021,5105784510,"£8,149.44",Mears Limited,,,,
Manchester City Council,Adult Social Care,Security,03.11.2021,5105784406,"£1,887.00",UNIQUE SPECIALIST SERVICES,,,,
Manchester City Council,Adult Social Care,Equipment,03.11.2021,5105784513,"£3,500.00",Herida Healthcare Plc,,,,
Manchester City Council,Adult Social Care,Furniture,03.11.2021,1907374122,£800.00,SW Retail Ltd,,,,
Manchester City Council,Adult Social Care,Catering Provisions,03.11.2021,1907391874,£616.83,Brake Bros Foodservice Ltd,,,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,03.11.2021,5105784527,"£6,039.16",Manchester Mind,,,,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,03.11.2021,5105784310,"£32,200.00",Redacted Personal Information,,,,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,03.11.2021,5105784384,"£19,342.04",Redacted Personal Information,,,,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,03.11.2021,5105784562,"£9,610.00",Redacted Personal Information,,,,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,03.11.2021,5105784442,"£5,145.00",Medlock House Ltd,,,,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,03.11.2021,5105784558,"£5,145.00",Medlock House Ltd,,,,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,03.11.2021,5105784571,"£5,096.00",Medlock House Ltd,,,,
Manchester City Council,Adult Social Care,Payments for services,03.11.2021,5105784445,"£118,131.00",Salford City Council,,,,
Manchester City Council,Adult Social Care,Payments for services,03.11.2021,5105784426,"£2,975.00",FoodSync CIC,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.11.2021,5105784401,"£6,595.00",The Guinness Partnership Ltd,,,,
Manchester City Council,Adult Social Care,Personal needs of client,03.11.2021,5105784498,£990.00,Herida Healthcare Plc,,,,
Manchester City Council,Adult Social Care,Compensation Payments,03.11.2021,1907386788,£678.00,Department For Work & Pensions,,,,
Manchester City Council,Corporate Services,Training and Development,03.11.2021,5105784367,£750.00,McArthur Online Training,,,,
Manchester City Council,Corporate Services,Travel Season TLS,03.11.2021,5105784383,£636.50,First Bus,,,,
Manchester City Council,Corporate Services,Equipment,03.11.2021,5105784526,"£5,400.00",Trust ID Limited,,,,
Manchester City Council,Corporate Services,Grant Payments,03.11.2021,5105784446,"£33,027.83",The Copyright Licensing Agency Ltd,,,,
Manchester City Council,Corporate Services,Data Registration,03.11.2021,1907388170,"£54,000.00",HMCS Traffic EC,,,,
Manchester City Council,Corporate Services,Data Registration,03.11.2021,1907388172,"£54,000.00",HMCS Traffic EC,,,,
Manchester City Council,Corporate Services,WPS Awards,03.11.2021,5105784471,£943.92,Furniture Resource Centre Ltd,,,,
Manchester City Council,Corporate Services,WPS Awards,03.11.2021,5105784475,£677.03,Furniture Resource Centre Ltd,,,,
Manchester City Council,Corporate Services,WPS Awards,03.11.2021,5105784477,£512.08,Furniture Resource Centre Ltd,,,,
Manchester City Council,Corporate Services,Construction Works,03.11.2021,5105784288,"£8,260.51",A T G Access Ltd,,,,
Manchester City Council,Housing Revenue Account,Professional fees,03.11.2021,5105784343,"£1,150.00",Lambert Smith Hampton,,,,
Manchester City Council,Housing Revenue Account,Professional fees,03.11.2021,5105784405,"-£1,150.00",Lambert Smith Hampton,,,,
Manchester City Council,Housing Revenue Account,Peaks & Plains Mgmt,03.11.2021,5105784509,"£3,726.82",Cheshire Peaks & Plains,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.11.2021,5105784432,"£101,932.09",Fieldway Supplies Ltd,,,,
Manchester City Council,Chief Executives,Agency staff provision,03.11.2021,5105784525,"£45,544.10",Sellick Partnership (Legal) Ltd,,,,
Manchester City Council,Chief Executives,Agency staff provision,03.11.2021,5105784444,"£4,706.40",Buckingham Futures Limited,,,,
Manchester City Council,Chief Executives,Agency staff provision,03.11.2021,5105784534,"£1,313.50",The Oyster Partnership Limited,,,,
Manchester City Council,Chief Executives,Agency staff provision,03.11.2021,5105784535,"£1,112.96",The Oyster Partnership Limited,,,,
Manchester City Council,Chief Executives,Printing,03.11.2021,5105784057,£889.00,Browns CTP Ltd,,,,
Manchester City Council,Chief Executives,General Office expenses,03.11.2021,1907386819,£704.30,Redacted Personal Information,,,,
Manchester City Council,Chief Executives,Professional fees,03.11.2021,5105784551,"£3,000.00",Smartsurvey Ltd,,,,
Manchester City Council,Chief Executives,Professional fees,03.11.2021,1907386797,"£1,915.00",DEANS COURT CHAMBERS,,,,
Manchester City Council,Chief Executives,Professional fees,03.11.2021,1907386825,£982.30,Expert Psychology Consultancy Ltd,,,,
Manchester City Council,Chief Executives,Professional fees,03.11.2021,1907386796,£650.00,DEANS COURT CHAMBERS,,,,
Manchester City Council,Chief Executives,Professional fees,03.11.2021,1907386787,£531.25,Redacted Personal Information,,,,
Manchester City Council,Chief Executives,Postage,03.11.2021,5105784410,"£1,667.04",Whistl North Ltd,,,,
Manchester City Council,Chief Executives,Grant and subscriptions awarded,03.11.2021,5105784294,£715.00,Ryder Brow Community,,,,
Manchester City Council,Chief Executives,Advertising,03.11.2021,5105784368,"£4,300.00",Fonemedia Limited,,,,
Manchester City Council,Chief Executives,Advertising,03.11.2021,5105784369,"£1,000.00",Fonemedia Limited,,,,
Manchester City Council,Chief Executives,Examination Fees,03.11.2021,5105784517,"£3,405.00",Uni Hospital of South Mcr,,,,
Manchester City Council,Chief Executives,Examination Fees,03.11.2021,5105784516,"£2,415.00",Uni Hospital of South Mcr,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.11.2021,5105784606,"£40,000.00",Office for Metropolitan Architectur,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.11.2021,5105784607,"£22,181.00",Office for Metropolitan Architectur,,,,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,03.11.2021,5105784125,"£134,557.50",Insight Direct (Uk) Ltd,,,,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,03.11.2021,5105784130,"£134,557.50",Insight Direct (Uk) Ltd,,,,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,03.11.2021,5105784573,"£42,961.44",Insight Direct (Uk) Ltd,,,,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,03.11.2021,5105784129,"£3,675.00",Insight Direct (Uk) Ltd,,,,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,03.11.2021,5105784231,"£3,675.00",Insight Direct (Uk) Ltd,,,,
Manchester City Council,Chief Executives,Compensation Payments,03.11.2021,1907386811,"£3,450.00",MEWA LLP,,,,
Manchester City Council,Chief Executives,Compensation Payments,03.11.2021,1907386798,£800.00,DEANS COURT CHAMBERS,,,,
Manchester City Council,Chief Executives,Compensation Payments,03.11.2021,1907386806,£668.94,Avr Transcription Ltd,,,,
Manchester City Council,Chief Executives,Compensation Payments,03.11.2021,1907386818,£525.00,Redacted Personal Information,,,,
Manchester City Council,Regeneration Finance,Legal Fees,03.11.2021,5105784376,"£7,423.00",Eversheds Llp,,,,
Manchester City Council,Regeneration Finance,Legal Fees,03.11.2021,5105784289,"£3,000.00",Kings Chambers,,,,
Manchester City Council,Regeneration Finance,Legal Fees,03.11.2021,1907391894,£575.00,Landmark Information Group Ltd,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.11.2021,5105784522,"£5,523.33",Compass Minerals UK Ltd,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,03.11.2021,5105784284,£851.16,TARMAC,,,,
Manchester City Council,Highways Services,Professional fees,03.11.2021,5105784483,"£10,256.92",A T G Access Ltd,,,,
Manchester City Council,Highways Services,Professional fees,03.11.2021,5105784484,"£1,240.00",A T G Access Ltd,,,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,04.11.2021,5105784478,"£1,980.00",Rigby Taylor Ltd,,,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,04.11.2021,5105784507,"£1,975.00",Rigby Taylor Ltd,,,,
Manchester City Council,Manchester Leisure,Equipment,04.11.2021,1907392839,"£2,550.00",AMBUTECH,,,,
Manchester City Council,Manchester Leisure,Equipment,04.11.2021,1907392819,"£1,104.00",WWW.EXTRANET.APLANT.COM,,,,
Manchester City Council,Manchester Leisure,Equipment,04.11.2021,1907393017,£800.00,PAYPAL (UK) P CARD ONLY,,,,
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",04.11.2021,1907392825,£709.82,WWW.ARTEL.EU,,,,
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",04.11.2021,1907393031,£699.00,ICOM UK,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,04.11.2021,5105784348,"£8,900.00",Arboricultural Services Treework,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,04.11.2021,5105784351,"£4,500.00",Arboricultural Services Treework,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,04.11.2021,5105784353,"£2,450.00",Arboricultural Services Treework,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,04.11.2021,5105784277,£896.18,Biffa Municipal Limited,,,,
Manchester City Council,Manchester Leisure,Professional fees,04.11.2021,5105784559,£547.50,Reach Publishing Services Ltd,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.11.2021,5105784731,"£1,500.00",Read Easy Wythenshawe,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.11.2021,5105784626,"£1,360.00",4CT Limited,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.11.2021,1907391899,"£1,000.00",JADE BOW BUTTERS,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.11.2021,1907391898,£500.00,Redacted Personal Information,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,04.11.2021,1907391852,£500.00,Redacted Personal Information,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,04.11.2021,5105784625,"£3,281.47",Marston Book Services Ltd,,,,
Manchester City Council,Manchester Leisure,Special Event,04.11.2021,5105784545,"£14,965.28",Utilities Design & Planning Ltd,,,,
Manchester City Council,Manchester Leisure,Special Event,04.11.2021,5105784520,£600.00,Star Autos Ltd,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,04.11.2021,5105784564,"£17,528.20",Standard Fuels Oils,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.11.2021,5105784291,"£69,308.97",Winners Contract Hire Ltd,,,,
Manchester City Council,Childrens & Education Services,"Consumable items eg Toilet rolls, soap etc",04.11.2021,1907392967,£595.00,STAGECOACH SERVICE,,,,
Manchester City Council,Childrens & Education Services,Professional fees,04.11.2021,1700126686,-£606.25,St Johns Buildings-Barristers,,,,
Manchester City Council,Childrens & Education Services,Subsistence and Conference Expenses,04.11.2021,5105784336,"£21,000.00",The Training Hub,,,,
Manchester City Council,Childrens & Education Services,Payments for services,04.11.2021,5105784549,"£5,241.92",Rossendale School Priory,,,,
