Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Amount,Supplier Name
Manchester City Council,Childrens Services,Compensation Expense,02.12.2010,1902364455,3656.20,Temperley Taylor LLP
Manchester City Council,Childrens Services,Legal Fees,02.12.2010,1902365542,600.00,REDACTED PERSONAL DATA
Manchester City Council,Childrens Services,Compensation Expense,02.12.2010,1902365552,1896.03,Bromley Hyde & Robinson
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,1902365918,1000.00,Childrens and Families Across Borde
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,1902365921,1000.00,Childrens and Families Across Borde
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,1902365923,1000.00,Childrens and Families Across Borde
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,1902374634,11280.00,REDACTED PERSONAL DATA
Manchester City Council,Adult Social Care,Rents,02.12.2010,1902375329,500.00,B & A Properties
Manchester City Council,Adult Social Care,Rents,02.12.2010,1902375334,500.00,B & A Properties
Manchester City Council,Adult Social Care,Rents,02.12.2010,1902375341,500.00,B & A Properties
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,1902375384,1235.60,Uclan Business Services
Manchester City Council,Housing Revenue Account,Compensation Expense,02.12.2010,1902375687,875.00,Clifford Johnston & Co
Manchester City Council,Adult Social Care,Rents,02.12.2010,1902376203,500.00,Roger W Dean & Co Ltd
Manchester City Council,Highways Services,Compensation Expense,02.12.2010,1902376256,2181.00,Department For Work & Pensions
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,1902379671,6609.38,REDACTED PERSONAL DATA
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,1902379695,1933.00,Family Action
Manchester City Council,Highways Services,Oth Professional Fee,02.12.2010,1902379705,2600.00,REDACTED PERSONAL DATA
Manchester City Council,Highways Services,Compensation Payments,02.12.2010,1902379759,4800.00,REDACTED PERSONAL DATA
Manchester City Council,Highways Services,Compensation Payments,02.12.2010,1902379776,10000.00,REDACTED PERSONAL DATA
Manchester City Council,Highways Services,Compensation Payments,02.12.2010,1902379781,1800.00,REDACTED PERSONAL DATA
Manchester City Council,Highways Services,Compensation Expense,02.12.2010,1902379783,5000.00,"GWS Solicitors,"
Manchester City Council,Environment and Operations,Oth Professional Fee,02.12.2010,1902379817,1000.00,Stage 73 Ltd
Manchester City Council,Chief Executives,Printing,02.12.2010,1902379846,1200.00,ePetch Printers Limited
Manchester City Council,Corporate Services,Grant and subscriptions awarded,02.12.2010,1902384439,554.00,The Royal Institution Of Chartered
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,02.12.2010,1902384468,2030.00,Exchange Building Management Co Ltd
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384535,3884.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384542,5186.00,REDACTED PERSONAL DATA
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,1902384543,1861.20,Barnardos Manchester Leaving Care S
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384544,3612.00,VICTORIA HALL
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384545,3841.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384547,6420.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384548,3202.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384549,3884.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384551,3612.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384553,3884.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384555,3884.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384559,6140.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384562,688.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384563,2316.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902384565,6491.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902385422,4921.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902385997,4300.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902386026,4242.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902386027,3214.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902386029,868.00,REDACTED PERSONAL DATA
Manchester City Council,Hospitality + Trading Services,General Payments not otherwise categorised,02.12.2010,1902386030,4300.00,REDACTED PERSONAL DATA
Manchester City Council,Childrens Services,Catering Provisions,02.12.2010,1902386725,805.83,REDACTED PERSONAL DATA
Manchester City Council,Childrens Services,PNOR-Child's Allows,02.12.2010,1902386725,547.07,REDACTED PERSONAL DATA
Manchester City Council,Childrens Services,Foster Payments,02.12.2010,1902386996,638.00,REDACTED PERSONAL DATA
Manchester City Council,Adult Social Care,Agency staff provision,02.12.2010,5100363855,500.00,Sue Ross Consultancy Ltd
Manchester City Council,Insurance Fund,Fire & Prls Ins Prem,02.12.2010,5100366569,8487.28,House of Fraser (Stores) Limited
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100376219,16554.00,Black Health Agency
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100388332,16554.00,Black Health Agency
Manchester City Council,Grtr Manchester Transport Unit,Payments to Sub-Contractors,02.12.2010,5100395665,3219.50,Cranborne Data Count
Manchester City Council,Manchester City Galleries,Works and associated costs for Land and Buildings,02.12.2010,5100395670,24177.00,F Parkinson Limited
Manchester City Council,Corporate Services,Hire of Premises,02.12.2010,5100395700,1941.20,Manchester City Football Club Plc
Manchester City Council,Corporate Services,Agency staff provision,02.12.2010,5100395781,551.11,Manchester Working Ltd
Manchester City Council,Chief Executives,Agency staff provision,02.12.2010,5100395801,970.38,Recruitment Solutions (NW) Ltd
Manchester City Council,Adult Social Care,I T Provision,02.12.2010,5100395840,2770.60,Panztel (Uk) Limited
Manchester City Council,Chief Executives,Oth Professional Fee,02.12.2010,5100395844,808.50,Showmed
Manchester City Council,Manchester Leisure,Oth Professional Fee,02.12.2010,5100395851,1275.00,Manchester Tennis Development Group
Manchester City Council,Manchester Leisure,Oth Professional Fee,02.12.2010,5100395855,750.00,Manchester Tennis Development Group
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100395905,2577.25,Music Stuff
Manchester City Council,Leasing,Vehicle contract hire and leases,02.12.2010,5100395908,9350.00,S G Equipment Finance Ltd
Manchester City Council,Leasing,Vehicle contract hire and leases,02.12.2010,5100395913,9800.00,S G Equipment Finance Ltd
Manchester City Council,Leasing,Vehicle contract hire and leases,02.12.2010,5100395915,700.00,S G Equipment Finance Ltd
Manchester City Council,Chief Executives,Agency staff provision,02.12.2010,5100395916,542.40,MTRP Ltd
Manchester City Council,Childrens Services,Supported Accom,02.12.2010,5100395917,574.65,St Vincents Housing Association Ltd
Manchester City Council,Chief Executives,Agency staff provision,02.12.2010,5100395918,661.64,Reed Employment Plc
Manchester City Council,Corporate Services,Fees,02.12.2010,5100395919,-2106.00,Cobbetts LLP
Manchester City Council,Adult Social Care,Ext Rep & Main Build,02.12.2010,5100395921,665.00,Security Wise (NW) Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.12.2010,5100395925,768.16,Salt Union Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.12.2010,5100395928,3830.01,Salt Union Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.12.2010,5100395931,6097.22,Salt Union Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.12.2010,5100395932,6830.83,Salt Union Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.12.2010,5100395938,6068.07,Salt Union Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.12.2010,5100395942,7588.73,Salt Union Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.12.2010,5100395946,6076.16,Salt Union Ltd
Manchester City Council,Highways Services,Payments to Sub-Contractors,02.12.2010,5100395950,7624.38,Salt Union Ltd
Manchester City Council,Chief Executives,Legal Fees,02.12.2010,5100395961,2212.50,Kings Chambers
Manchester City Council,Childrens Services,CAMC/Not assigned,02.12.2010,5100395962,-4891.00,Rainbow Trust
Manchester City Council,Leasing,Vehicle contract hire and leases,02.12.2010,5100395967,7150.00,S G Equipment Finance Ltd
Manchester City Council,Leasing,Vehicle contract hire and leases,02.12.2010,5100395970,-7150.00,S G Equipment Finance Ltd
Manchester City Council,Leasing,Vehicle contract hire and leases,02.12.2010,5100395977,7150.00,S G Equipment Finance Ltd
Manchester City Council,Chief Executives,Payments for services,02.12.2010,5100395991,2456.00,Priory Healthcare
Manchester City Council,Childrens Services,Home Care ,02.12.2010,5100395994,617.29,Accommodation Links Ltd
Manchester City Council,Childrens Services,Home Care ,02.12.2010,5100395996,638.57,Accommodation Links Ltd
Manchester City Council,Chief Executives,Payments for services,02.12.2010,5100395997,2970.00,Priory Healthcare
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,02.12.2010,5100395998,3684.00,Priory Healthcare
Manchester City Council,Corporate Services,Equipment,02.12.2010,5100396008,3780.00,Guide Security Services Ltd
Manchester City Council,Leasing,Vehicle contract hire and leases,02.12.2010,5100396015,650.00,S G Equipment Finance Ltd
Manchester City Council,Childrens Services,Support People Pays,02.12.2010,5100396017,664.26,Victoria Park Independence Proj Ltd
Manchester City Council,Corporate Services,Equipment,02.12.2010,5100396030,547.09,Centurion Security Systems Ltd
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,5100396042,900.00,DTB Education Ltd
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,5100396042,4500.00,DTB Education Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,02.12.2010,5100396047,24674.87,Kenny Bros (Civil Eng) Ltd
Manchester City Council,Hospitality + Trading Services,Security Costs,02.12.2010,5100396053,6487.82,Chubb  Systems Limited
Manchester City Council,Adult Social Care,Rents,02.12.2010,5100396076,12159.00,Grail Property
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,02.12.2010,5100396086,1500.00,Cles Consulting
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100396101,3322.91,Catholic Childrens Society
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100396104,4271.66,The Depaul Trust
Manchester City Council,Regeneration Finance,Travel,02.12.2010,5100396105,-506.00,Uniglobe Diamond Travel Limited
Manchester City Council,Regeneration Finance,Travel,02.12.2010,5100396107,506.00,Uniglobe Diamond Travel Limited
Manchester City Council,Childrens Services,I T Provision,02.12.2010,5100396115,1595.00,Greenlight Computers Limited
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100396129,11225.00,Homestart Manchester North
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100396132,12795.83,Nacro Operations
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,5100396137,38605.85,Barnardo's North West
Manchester City Council,Childrens Services,Oth Professional Fee,02.12.2010,5100396138,52431.17,Barnardo's North West
Manchester City Council,Childrens Services,Supported Accom,02.12.2010,5100396140,552.80,Creative Support Ltd
Manchester City Council,Corporate Services,I T Provision,02.12.2010,5100396143,2000.00,Concerto Support Services
Manchester City Council,Housing Revenue Account,Responsive Work,02.12.2010,5100396147,128674.42,Manchester Working Ltd
Manchester City Council,Childrens Services,Coach Hire,02.12.2010,5100396149,2470.00,Cresta Car Hire
Manchester City Council,Chief Executives,Agency staff provision,02.12.2010,5100396153,1121.25,The Recruitment Business Ltd
Manchester City Council,Regeneration Finance,Consultants Fees,02.12.2010,5100396200,-1400.00,The Boot Room
Manchester City Council,Regeneration Finance,Consultants Fees,02.12.2010,5100396201,8000.00,The Boot Room
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,02.12.2010,5100396206,3540.00,Awaaz Manchester
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.12.2010,5100396209,1053.41,Advanced Vehicle Technicians Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,02.12.2010,5100396210,8000.00,REDACTED PERSONAL DATA
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.12.2010,5100396211,190287.00,Manchester Working Ltd
Manchester City Council,Chief Executives,Infra - Construction,02.12.2010,5100396212,-3200.00,Utilities Design & Planning Ltd
Manchester City Council,Manchester Leisure,Vehicle contract hire and leases,02.12.2010,5100396214,700.00,Ashalls Coaches
Manchester City Council,Manchester Leisure,Oth Professional Fee,02.12.2010,5100396215,2667.97,Manchester City Football Club Plc
Manchester City Council,Manchester Leisure,Vehicle contract hire and leases,02.12.2010,5100396216,33400.00,Ashalls Coaches
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100396217,6041.17,Young People Support Foundation
Manchester City Council,Highways Services,Oth Professional Fee,02.12.2010,5100396218,570.21,AECOM Limited
Manchester City Council,Highways Services,Oth Professional Fee,02.12.2010,5100396219,2756.06,AECOM Limited
Manchester City Council,Highways Services,Oth Professional Fee,02.12.2010,5100396220,16038.99,AECOM Limited
Manchester City Council,Highways Services,Oth Professional Fee,02.12.2010,5100396222,4896.47,AECOM Limited
Manchester City Council,Highways Services,Oth Professional Fee,02.12.2010,5100396223,6430.39,AECOM Limited
Manchester City Council,Leasing,Lease Payments,02.12.2010,5100396224,42472.31,Alliance & Leicester Commercial Ban
Manchester City Council,Chief Executives,Agency staff provision,02.12.2010,5100396247,6962.42,Eden Brown Ltd
Manchester City Council,Grtr Manchester Urban Traffic,Payments to Sub-Contractors,02.12.2010,5100396252,520.00,United Utilities Networks Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,02.12.2010,5100396258,32517.36,Winners Contract Hire Ltd
Manchester City Council,Adult Social Care,Equipment,02.12.2010,5100396285,846.00,Endres UK Limited
Manchester City Council,Chief Executives,Oth Professional Fee,02.12.2010,5100396293,15025.00,Ice Aid
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,02.12.2010,5100396296,10950.79,Manchester Working Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,02.12.2010,5100396303,-500.00,Stone Computers Ltd
Manchester City Council,Chief Executives,Hire of Equipment,02.12.2010,5100396304,569.48,Hss Event Hire
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100396305,34650.00,Moss Side Millennium Powerhouse Ltd
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100396313,6176.33,Manchester Alliance For
Manchester City Council,Childrens Services,Grant and subscriptions awarded,02.12.2010,5100396315,6176.33,Manchester Alliance For
Manchester City Council,Childrens Services,Oth Professional Fee,03.12.2010,1902355307,3575.00,Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Oth Professional Fee,03.12.2010,1902355308,4000.00,Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Oth Professional Fee,03.12.2010,1902355310,13200.00,Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Oth Professional Fee,03.12.2010,1902355312,6600.00,Abney Garsden Mcdonald
Manchester City Council,Housing General Fund,Surplus property Acquisitions,03.12.2010,1902365404,673.00,REDACTED PERSONAL DATA
Manchester City Council,Corporate Services,Fees,03.12.2010,1902373102,-25125.85,Rossendales Ltd
Manchester City Council,Corporate Services,Fees,03.12.2010,1902373102,25125.85,Rossendales Ltd
Manchester City Council,Childrens Services,Compensation Expense,03.12.2010,1902375689,11624.60,Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Expense,03.12.2010,1902375692,11790.83,Abney Garsden Mcdonald
Manchester City Council,Adult Social Care,Rents,03.12.2010,1902376241,500.00,TLB Manchester Ltd
Manchester City Council,Childrens Services,Compensation Expense,03.12.2010,1902376252,14416.87,Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Expense,03.12.2010,1902376253,6250.00,Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Expense,03.12.2010,1902376254,13140.20,Abney Garsden Mcdonald
Manchester City Council,Insurance Fund,Insurance,03.12.2010,1902384446,1321.70,Sph Costing Services Ltd
Manchester City Council,Insurance Fund,Insurance,03.12.2010,1902386696,9117.82,Parkers Solicitors
Manchester City Council,Regeneration Finance,Hire of Equipment,03.12.2010,1902386832,10530.00,The Festive Lighting Company Ltd
Manchester City Council,Insurance Fund,Insurance,03.12.2010,1902386962,505.00,Department For Work & Pensions
Manchester City Council,Hospitality + Trading Services,Lettings Income,03.12.2010,1902386966,607.05,REDACTED PERSONAL DATA
Manchester City Council,Insurance Fund,Insurance,03.12.2010,1902387009,505.00,Department For Work & Pensions
Manchester City Council,Childrens Services,Compensation Expense,03.12.2010,1902387014,7700.00,Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Expense,03.12.2010,1902387015,2200.00,Abney Garsden Mcdonald
Manchester City Council,Childrens Services,Compensation Expense,03.12.2010,1902387016,11000.00,Abney Garsden Mcdonald
Manchester City Council,Chief Executives,Grant and subscriptions awarded,03.12.2010,1902387166,3077.00,Kidszone
Manchester City Council,Chief Executives,Grant and subscriptions awarded,03.12.2010,1902387199,2051.07,Levenshulme Community Association
Manchester City Council,Childrens Services,Legal Fees,03.12.2010,1902387359,950.00,Grange Reporting Ltd
Manchester City Council,Chief Executives,Oth Professional Fee,03.12.2010,1902388132,123340.00,MQT (Trading as Urbis)
Manchester City Council,Chief Executives,Oth Professional Fee,03.12.2010,1902388135,5990.00,Millenium Quarter Trust Admin Acct
Manchester City Council,Housing General Fund,Surplus property Acquisitions,03.12.2010,1902388148,52626.13,COBBETTS LLP
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,03.12.2010,5100394431,546493.76,Willmott Dixon Construction
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.12.2010,5100395625,558.96,Burdens Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,03.12.2010,5100395625,2052.00,Burdens Ltd
Manchester City Council,Chief Executives,Grant and subscriptions awarded,03.12.2010,5100395813,3456.00,CSV Training & Enterprise North
Manchester City Council,Childrens Services,Building Works,03.12.2010,5100395856,920071.59,Willmott Dixon Construction
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.12.2010,5100395940,7260.00,Back On Track
Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,03.12.2010,5100395945,1836.00,Back On Track
Manchester City Council,Libraries and Theatres,Equipment,03.12.2010,5100396011,6451.76,Axiell Ltd
Manchester City Council,Grtr Manchester Transport Unit,Payments to Sub-Contractors,03.12.2010,5100396074,620.00,Count On Us Ltd
