Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212770,£580.07,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906213014,£571.83,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212781,£552.01,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212811,£551.86,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212809,£547.15,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212989,£545.85,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212924,£506.73,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212968,£505.39,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212836,£502.12,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212921,£500.91,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,01.10.2018,5100997461,"£22,184.00",Manchester Care & Repair Ltd,,,,,
Manchester City Council,Highways Services,Legal Fees,01.10.2018,5100997463,£825.00,Redacted Personal Information,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.10.2018,5100997832,"£10,932.00",Redacted Personal Information,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.10.2018,5100997829,"£9,387.00",Redacted Personal Information,,,,,
Manchester City Council,Adult Social Care,"Clothes, Uniform and Laundry",01.10.2018,5100997541,£600.00,Alliance Disposables Ltd,,,,,
Manchester City Council,Regeneration Finance,Grant Payments,01.10.2018,1906212752,"£7,759.00",H M Revenues and Customs,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,01.10.2018,1906212813,£884.26,Chicken Joes Limited,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.10.2018,5100997812,"£32,740.08",Galliford Try Infastructure Ltd,,,,,
Manchester City Council,Adult Social Care,Payments for services,01.10.2018,5100997462,"-£7,500.00",Alere Ltd,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,01.10.2018,5100997833,"-£2,000.00",Buro Happold Limited,,,,,
Manchester City Council,Adult Social Care,Payments for services,01.10.2018,5100997801,"£106,267.20",Pathways CIC,,,,,
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,01.10.2018,5100997500,"£644,399.08",S4B Limited,,,,,
Manchester City Council,Manchester Leisure,Payments for services,01.10.2018,5100997481,"£1,225.00",Dance and Fitness Agency Ltd,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,01.10.2018,5100997830,"£17,553.00",Redacted Personal Information,,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.10.2018,5100997487,"£20,000.00",Boxyard Ltd,,,,,
Manchester City Council,Chief Executives,Agency staff provision,01.10.2018,5100997828,"£2,728.00",Redacted Personal Information,,,,,
Manchester City Council,Chief Executives,Agency staff provision,01.10.2018,5100997827,"£1,510.00",Redacted Personal Information,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,01.10.2018,5100997483,£811.15,Redacted Personal Information,,,,,
Manchester City Council,Manchester Leisure,Hire of Equipment,01.10.2018,5100997472,"£3,553.50",Niche Event Hire,,,,,
Manchester City Council,Manchester Leisure,Professional fees,01.10.2018,5100997465,£800.00,Redacted Personal Information,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,01.10.2018,5100997492,"£1,948,141.00",FQ Developments,,,,,
Manchester City Council,Manchester Leisure,Professional fees,01.10.2018,5100997466,"£1,000.00",Redacted Personal Information,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,01.10.2018,5100997498,"£1,469,108.00",Manchester New Square Partnership,,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.10.2018,5100997510,"£1,269.16",Friends Sporting Club,,,,,
Manchester City Council,Manchester Leisure,Special Events,01.10.2018,1906212012,"£1,005.00",Outdoor Catering Events,,,,,
Manchester City Council,Adult Social Care,Training and Development,01.10.2018,1906205354,"£12,438.20",PAMS Assessments,,,,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,01.10.2018,1906145619,"£1,283.00",Peoplesafe,,,,,
Manchester City Council,Chief Executives,Professional fees,01.10.2018,1906212751,"£4,000.00",Jazz Maps,,,,,
Manchester City Council,Chief Executives,Publications,02.10.2018,5100997943,£510.00,John Smith & Son (Glasgow) Ltd T/A,,,,,
Manchester City Council,Manchester Leisure,Vehicle Fuel Costs,02.10.2018,5100997959,"£1,201.40",Carlton Fuels Ltd,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997907,"£24,127.58",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997927,"£24,127.58",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997901,"£17,285.42",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997905,"£10,419.36",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997924,"£10,419.36",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997909,"£5,187.46",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997921,"£5,187.46",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997932,"£3,957.64",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997910,"£2,695.49",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997919,"£2,695.49",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997930,£758.71,Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997912,"-£2,695.49",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997914,"-£5,187.46",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997915,"-£10,419.36",Zurich Municipal,,,,,
Manchester City Council,Insurance Fund,Insurance,02.10.2018,5100997916,"-£24,127.58",Zurich Municipal,,,,,
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,02.10.2018,5100980404,£916.67,Huperade Ltd,,,,,
Manchester City Council,Manchester Leisure,Equipment,02.10.2018,5100997865,"£5,544.00",Craemer Uk Ltd,,,,,
Manchester City Council,Chief Executives,Data Links,02.10.2018,1906206151,"£135,032.42",BT PLC,,,,,
Manchester City Council,Chief Executives,Data Links,02.10.2018,1700083450,"-£14,403.28",BT PLC,,,,,
Manchester City Council,Highways Services,Furniture,02.10.2018,5100997968,-£739.00,Back Care Solutions Ltd,,,,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,02.10.2018,5100997844,"£1,357.90",Clearview Event Services Limited,,,,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,02.10.2018,5100997843,"-£1,357.90",Clearview Event Services Limited,,,,,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,02.10.2018,5100972794,£886.15,Combined Masonry Supplies Ltd,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.10.2018,5100997880,"£65,000.00",Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.10.2018,5100997876,"£16,666.66",Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.10.2018,5100997878,"£9,187.20",Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.10.2018,5100997878,"£7,396.10",Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,02.10.2018,5100998005,£942.74,Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,02.10.2018,5100998005,£912.43,Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,02.10.2018,5100998005,£790.60,Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,02.10.2018,5100998005,£547.74,Riverside ECHG,,,,,
Manchester City Council,Chief Executives,Landline Telephone Charges,02.10.2018,1906205785,£653.25,Vodafone (Ex C&W),,,,,
Manchester City Council,Regeneration Finance,Compensation Payments,02.10.2018,5100997938,"£15,050.00",Savills (UK) Ltd,,,,,
Manchester City Council,Regeneration Finance,Compensation Payments,02.10.2018,5100997937,"£5,000.00",Savills (UK) Ltd,,,,,
Manchester City Council,Chief Executives,Examination Fees,02.10.2018,5100997918,"£1,725.42",Central Mcr Uni Hospital t/a,,,,,
Manchester City Council,Chief Executives,Data Links,02.10.2018,5100997458,"£2,285.00",The Co-operative Business Telecoms,,,,,
Manchester City Council,Chief Executives,Data Links,02.10.2018,5100997459,"£2,285.00",The Co-operative Business Telecoms,,,,,
Manchester City Council,Manchester Leisure,Professional fees,02.10.2018,5100997841,"£1,000.00",Wythenshawe Forum Trust Ltd,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,02.10.2018,5100998024,"£5,500.00",Talbot House Support Centre,,,,,
Manchester City Council,Chief Executives,Grant Payments,02.10.2018,5100997842,"£7,500.00",Contact Theatre Company,,,,,
Manchester City Council,Adult Social Care,Professional fees,02.10.2018,1906202175,"£2,392.60",Stockport Psychology Services,,,,,
Manchester City Council,Manchester Leisure,Professional fees,02.10.2018,5100997962,"£2,000.00",Barlow Moor Community Centre,,,,,
Manchester City Council,Highways Services,Compensation Payments,02.10.2018,1906212747,£866.00,Department For Work & Pensions,,,,,
Manchester City Council,Corporate Services,I T Provision,02.10.2018,5100997935,"£2,507.76",Insight Direct (Uk) Ltd,,,,,
Manchester City Council,Chief Executives,I T Provision,02.10.2018,5100997961,"£13,391.80",Insight Direct (Uk) Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,02.10.2018,5100997972,£926.25,TES Global Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,02.10.2018,5100997973,£926.25,TES Global Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,02.10.2018,5100997974,£926.25,TES Global Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,02.10.2018,5100997975,£926.25,TES Global Ltd,,,,,
Manchester City Council,Adult Social Care,Professional fees,02.10.2018,5100997965,£762.00,Cellmark,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,02.10.2018,5100998008,"£1,644.00",St. Anne's CE Primary School,,,,,
Manchester City Council,Regeneration Finance,Third party payments to other Local Authorities,02.10.2018,5100998007,"£11,410.50",London Borough of Harrow,,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.10.2018,5100997906,£677.60,Redacted Personal Information,,,,,
Manchester City Council,Regeneration Finance,Professional fees,02.10.2018,5100997480,"£3,300.00",Argus Software UK Ltd,,,,,
Manchester City Council,Adult Social Care,Rents,02.10.2018,5100997954,"£75,631.00",Accommodation Links Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Professional fees,02.10.2018,5100997871,"£2,407.00",Jacobs UK Ltd,,,,,
Manchester City Council,Housing General Fund,Surplus property Fees,02.10.2018,5100997871,£800.00,Jacobs UK Ltd,,,,,
Manchester City Council,Housing Revenue Account,Professional fees,02.10.2018,5100997871,"£4,250.00",Jacobs UK Ltd,,,,,
Manchester City Council,Regeneration Finance,Professional fees,02.10.2018,5100997871,"£12,086.90",Jacobs UK Ltd,,,,,
Manchester City Council,Regeneration Finance,Professional fees,02.10.2018,5100997871,"£1,351.50",Jacobs UK Ltd,,,,,
Manchester City Council,Regeneration Finance,Professional fees,02.10.2018,5100997871,"£1,007.00",Jacobs UK Ltd,,,,,
Manchester City Council,Regeneration Finance,Professional fees,02.10.2018,5100997871,£954.00,Jacobs UK Ltd,,,,,
Manchester City Council,Regeneration Finance,Professional fees,02.10.2018,5100997871,£715.50,Jacobs UK Ltd,,,,,
Manchester City Council,Chief Executives,I T Provision,02.10.2018,5100997894,"£10,486.08",Advanced Legal Solutions Ltd,,,,,
Manchester City Council,Chief Executives,Rents,02.10.2018,1906210762,"£1,296.52",Regus Management (UK) Ltd,,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.10.2018,5100997900,"£4,749.00",Kane Funeral Services,,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.10.2018,5100997896,"£1,004.56",Kane Funeral Services,,,,,
Manchester City Council,Adult Social Care,Professional fees,02.10.2018,1906205280,£983.07,Redacted Personal Information,,,,,
Manchester City Council,Chief Executives,Examination Fees,02.10.2018,5100997920,"£3,550.00",ROAR Forensics Ltd,,,,,
Manchester City Council,Chief Executives,Examination Fees,02.10.2018,5100997923,"£3,482.50",ROAR Forensics Ltd,,,,,
Manchester City Council,Chief Executives,Examination Fees,02.10.2018,5100997922,"£1,375.00",ROAR Forensics Ltd,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,02.10.2018,5100997884,"£116,738.75",Conlon Construction Ltd,,,,,
Manchester City Council,Adult Social Care,Professional fees,02.10.2018,1906202181,£600.00,Kenworthy's Chambers,,,,,
Manchester City Council,Adult Social Care,Contract Cleaning External,02.10.2018,5100997969,"£1,515.25",Georgie Porgie's Network Nursey Ltd,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,02.10.2018,5100997873,"£2,789.00",Poynton High School,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,02.10.2018,5100997966,"£8,553.00",Redacted Personal Information,,,,,
Manchester City Council,Environment and Operations,Professional fees,02.10.2018,5100997933,£595.00,Solution Talk LLP,,,,,
Manchester City Council,Chief Executives,ICT Support & Maintenance,02.10.2018,5100997989,"£4,250.00",TNP Ltd,,,,,
Manchester City Council,Chief Executives,ICT Support & Maintenance,02.10.2018,5100997990,"£4,250.00",TNP Ltd,,,,,
Manchester City Council,Chief Executives,ICT Support & Maintenance,02.10.2018,5100997988,"£3,600.00",TNP Ltd,,,,,
Manchester City Council,Corporate Services,Subsistence and Conference Expenses,02.10.2018,5100998025,"£6,293.31",Redacted Personal Information,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,02.10.2018,5100997870,£570.63,Redacted Personal Information,,,,,
Manchester City Council,Adult Social Care,Supported Accommodation,02.10.2018,5100998034,£900.00,White Lodge Hotel,,,,,
Manchester City Council,Hospitality + Trading Services,Tyres and Tubes,02.10.2018,5100997976,"£4,924.76",ATS Euromaster Limited,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,02.10.2018,5100997950,"£1,922,282.00",Manchester New Square Partnership,,,,,
Manchester City Council,Corporate Services,Legal Fees,02.10.2018,5100997864,"£11,262.00",Mourant Ozannes,,,,,
Manchester City Council,Manchester Leisure,Professional fees,02.10.2018,1906212759,"£5,000.00",Policy Point Ltd,,,,,
Manchester City Council,Manchester Leisure,Special Events,02.10.2018,1906212725,"£3,600.00",Many Many Monkeys,,,,,
Manchester City Council,Manchester Leisure,Special Events,02.10.2018,1906212722,"£2,010.00",Amani Creatives,,,,,
Manchester City Council,Manchester Leisure,Special Events,02.10.2018,1906212731,£925.00,Gourmet and Continental Foods,,,,,
Manchester City Council,Adult Social Care,Professional fees,02.10.2018,1906203023,£650.00,Redacted Personal Information,,,,,
Manchester City Council,Adult Social Care,Professional fees,02.10.2018,1906203016,£600.00,KBW Barristers Chambers,,,,,
Manchester City Council,Adult Social Care,Payments for services,02.10.2018,1906206354,"£13,310.00",Wathen Grange School Ltd,,,,,
Manchester City Council,Adult Social Care,Payments for services,02.10.2018,1906212736,"£1,200.00",Carrington Riding Centre,,,,,
Manchester City Council,Adult Social Care,Payments for services,02.10.2018,1906205359,£800.00,Fisherfield Child Care,,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,02.10.2018,1906214295,"£1,968.75",Greenwood Medico Legal,,,,,
Manchester City Council,Highways Services,Compensation Payments,02.10.2018,1906214261,"£3,250.00",Stanley House Solicitors,,,,,
Manchester City Council,Highways Services,Compensation Payments,02.10.2018,1906212742,"£2,550.00",JF Law Limited,,,,,
Manchester City Council,Highways Services,Compensation Payments,02.10.2018,1906212743,"£2,161.50",JF Law Limited,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217640,"£13,145.00",Pollock Lifts Ltd,,,,,
Manchester City Council,Adult Social Care,Payments for services,03.10.2018,5100998177,"£19,090.51",Belmont School Ltd,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.10.2018,5100998144,"£14,941.67",Park Crescent Hotel Ltd,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.10.2018,5100998143,"£1,500.00",Park Crescent Hotel Ltd,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.10.2018,5100998149,"£1,350.00",Park Crescent Hotel Ltd,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.10.2018,5100998142,"£1,275.00",Park Crescent Hotel Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,I T Provision,03.10.2018,5100998159,£762.50,Blackstone Computer Services Ltd,,,,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,03.10.2018,5100998164,"£6,565.38",Mitie Cleaning & Environmental,,,,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,03.10.2018,5100998170,£763.17,Mitie Cleaning & Environmental,,,,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,03.10.2018,5100998169,-£763.17,Mitie Cleaning & Environmental,,,,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,03.10.2018,5100998163,"-£6,565.38",Mitie Cleaning & Environmental,,,,,
Manchester City Council,Adult Social Care,Landline Telephone Charges,03.10.2018,1906195030,£655.52,Bt Featurenet Payment Centre,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,03.10.2018,5100998100,"£4,473.00",Altrincham College Of Arts,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,03.10.2018,5100997845,"£351,906.00",Barnardo's North West,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.10.2018,5100998010,"£19,091.41",Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.10.2018,5100998010,"£12,585.85",Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.10.2018,5100998010,"£12,500.00",Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.10.2018,5100998010,"£5,833.33",Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,03.10.2018,5100998108,"£4,158.48",ACORN Recovery Projects,,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.10.2018,5100997467,"£3,325.00",Civica UK Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217648,"£4,787.00",Stannah Lift Services Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217650,"£3,151.00",Stannah Lift Services Ltd,,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,03.10.2018,5100997491,"£11,623.13",Central Mcr Uni Hospital t/a,,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,03.10.2018,5100997491,£657.63,Central Mcr Uni Hospital t/a,,,,,
Manchester City Council,Chief Executives,Examination Fees,03.10.2018,5100997491,"£3,314.10",Central Mcr Uni Hospital t/a,,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,03.10.2018,5100997491,"£25,643.88",Central Mcr Uni Hospital t/a,,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,03.10.2018,5100998140,"£5,000.00",Wythenshawe Community Farm,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217649,"£4,356.00",Thyssenkrupp Encasa,,,,,
Manchester City Council,Corporate Services,Furniture,03.10.2018,5100998155,"£1,178.00",Egan Reid Stationery Co Ltd,,,,,
Manchester City Council,Chief Executives,Hire of Premises,03.10.2018,5100998243,"-£7,700.00",HMCTS (Newport),,,,,
Manchester City Council,Regeneration Finance,Professional fees,03.10.2018,1906214579,"£3,000.00",Companies House,,,,,
Manchester City Council,Chief Executives,Professional fees,03.10.2018,5100998109,"£22,726.00",GMCA,,,,,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,03.10.2018,5100998035,"£35,089.50",Manchester Working Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217646,"£2,568.00",Hoist & Shower Chair Company,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217647,"£2,443.00",Hoist & Shower Chair Company,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.10.2018,5100998172,"£2,078.00",Hoist & Shower Chair Company,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,5100998173,"£113,788.59",Southway Housing Trust,,,,,
Manchester City Council,Chief Executives,Professional fees,03.10.2018,5100998075,"£3,732.30",Greengage Consulting Ltd,,,,,
Manchester City Council,Chief Executives,Professional fees,03.10.2018,5100998072,"-£3,732.30",Greengage Consulting Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Professional fees,03.10.2018,5100997934,£755.25,Jacobs UK Ltd,,,,,
Manchester City Council,Regeneration Finance,Catering,03.10.2018,5100998190,£597.00,Islington Council,,,,,
Manchester City Council,Regeneration Finance,Legal Fees,03.10.2018,5100998176,"£3,600.00",Landmark Chambers,,,,,
Manchester City Council,Adult Social Care,Rents,03.10.2018,1906214290,£550.00,Redacted Personal Information,,,,,
Manchester City Council,Adult Social Care,Equipment,03.10.2018,5100998073,"£3,475.00",Ultimate Healthcare,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.10.2018,5100997836,"£2,000.00",Buro Happold Limited,,,,,
Manchester City Council,Chief Executives,Landline Telephone Charges,03.10.2018,5100996809,"£1,750.00",The Loop t/a Gamma Telecom Ltd,,,,,
Manchester City Council,Adult Social Care,Professional fees,03.10.2018,5100998187,"£6,171.00",Career Connect,,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.10.2018,5100998157,£500.00,Redacted Personal Information,,,,,
Manchester City Council,Manchester Leisure,Professional fees,03.10.2018,5100998150,£500.00,Interference Art,,,,,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,03.10.2018,5100998165,"£14,439.65",UPS Building & Maintenance Ltd,,,,,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,03.10.2018,5100998156,"-£14,439.65",UPS Building & Maintenance Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217642,"£12,195.42",UPS Building & Maintenance Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217641,"£8,479.81",UPS Building & Maintenance Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217644,"£5,376.88",UPS Building & Maintenance Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217645,"£4,661.89",UPS Building & Maintenance Ltd,,,,,
Manchester City Council,Housing General Fund,Building Works,03.10.2018,1906217643,"£3,377.81",UPS Building & Maintenance Ltd,,,,,
Manchester City Council,Adult Social Care,Professional fees,03.10.2018,5100997410,"£6,000.00",EC Safeguarding Consultancy Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,03.10.2018,5100998158,£595.00,In Touch Local Media Ltd,,,,,
Manchester City Council,Adult Social Care,Contract Cleaning External,03.10.2018,5100998037,"£2,240.00",Kids Start Ltd,,,,,
Manchester City Council,Chief Executives,Professional fees,03.10.2018,5100998145,"£1,102.50",Redacted Personal Information,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,03.10.2018,5100997831,"£1,960.00",Redacted Personal Information,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,03.10.2018,5100998126,"£1,072.00",Edgerton Management Services,,,,,
Manchester City Council,Adult Social Care,Rents,03.10.2018,5100998089,"£24,978.87",District Homes Cic,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,03.10.2018,5100998115,"£48,760.50",Cert JDS Ltd,,,,,
Manchester City Council,Adult Social Care,Rents,03.10.2018,1906214292,£550.00,Ryan Baker Estate Agents,,,,,
Manchester City Council,Adult Social Care,Professional fees,03.10.2018,1906210774,"£30,000.00",UpRising,,,,,
Manchester City Council,Adult Social Care,Professional fees,03.10.2018,1906218395,"£1,450.00",Marcia Mediation Ltd,,,,,
Manchester City Council,Adult Social Care,Subsistence and Conference Expenses,03.10.2018,1700083459,-£944.00,HOLIDAY COTTAGES,,,,,
