Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,12-Dec-22,5105848337,Nacro,"£13,139.33"
Manchester City Council,Adult Social Care,Personal needs of client,02-Dec-22,5105846932,Tunstall Healthcare (UK) Ltd,"£1,900.00"
Manchester City Council,Adult Social Care,Personal needs of client,08-Dec-22,5105847779,Tunstall Healthcare (UK) Ltd,"£3,800.00"
Manchester City Council,Adult Social Care,Personal needs of client,16-Dec-22,5105848014,Tunstall Healthcare (UK) Ltd,"£5,700.00"
Manchester City Council,Childrens & Education Services,Agency staff provision,05-Dec-22,5105846867,Gatenby Sanderson,"£4,560.00"
Manchester City Council,Regeneration Finance,Rents,15-Dec-22,1907955791,Asda Stores Ltd (Leeds),"£12,500.00"
Manchester City Council,Environment and Operations,Works and associated costs for Land and Buildings,05-Dec-22,5105847251,Eversheds Llp,"£2,130.00"
Manchester City Council,Regeneration Finance,Legal Fees,19-Dec-22,5105849698,Eversheds Llp,"£10,948.50"
Manchester City Council,Libraries and Theatres,Works and associated costs for Land and Buildings,20-Dec-22,1907963938,Eversheds Llp,"£8,303.90"
Manchester City Council,Adult Social Care,Personal needs of client,12-Dec-22,5105847960,Prism Medical UK Carefree Division,£817.61
Manchester City Council,Adult Social Care,Personal needs of client,19-Dec-22,5105849603,Prism Medical UK Carefree Division,"£1,436.31"
Manchester City Council,Adult Social Care,Personal needs of client,19-Dec-22,5105849602,Prism Medical UK Carefree Division,£814.78
Manchester City Council,Adult Social Care,Personal needs of client,31-Dec-22,5105850795,Prism Medical UK Carefree Division,"£1,495.72"
Manchester City Council,Adult Social Care,Personal needs of client,31-Dec-22,5105847194,Prism Medical UK Carefree Division,£871.67
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,16-Dec-22,5105849407,DLP Services (Northern) Ltd,"£15,779.83"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,23-Dec-22,5105849792,Wythenshawe Community Initiative,"£2,000.00"
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,02-Dec-22,5105846984,Redacted Personal Information,"£9,326.00"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,14-Dec-22,5105849089,Hastings Private Hire,"£15,577.00"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,31-Dec-22,5105850538,Hastings Private Hire,"£10,814.00"
Manchester City Council,Corporate Services,Licences Purchase,20-Dec-22,5105849931,Blazie,"£7,610.00"
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,05-Dec-22,5105847260,Assessment & Qualifications Allianc,£508.95
Manchester City Council,Chief Executives,Agency staff provision,14-Dec-22,5105848890,NES UK Limited,"£24,589.00"
Manchester City Council,Regeneration Finance,Removal and Storage of Furniture,09-Dec-22,5105848165,BCL,£961.00
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,12-Dec-22,5105848005,BCL,"£2,480.00"
Manchester City Council,Highways Services,Purchase of stores for re-distribution,14-Dec-22,5105848001,Instarmac Group Ltd,"£2,867.20"
Manchester City Council,Highways Services,Purchase of stores for re-distribution,15-Dec-22,5105848834,Instarmac Group Ltd,"£3,088.28"
Manchester City Council,Highways Services,Purchase of stores for re-distribution,21-Dec-22,5105849731,Instarmac Group Ltd,£616.20
Manchester City Council,Chief Executives,Advertising,15-Dec-22,5105849187,Haymarket Publishing Services Ltd,£795.00
Manchester City Council,Manchester Leisure,Security,16-Dec-22,5105849471,Chubb  Systems Limited,£649.92
Manchester City Council,Manchester Leisure,Security,16-Dec-22,5105849472,Chubb  Systems Limited,£649.92
Manchester City Council,Adult Social Care,Refuse Collection,13-Dec-22,5105848661,Initial Medical Services,"£2,143.77"
Manchester City Council,Chief Executives,CRB Fees,14-Dec-22,5105849080,Disclosure & Barring Service,"£20,268.00"
Manchester City Council,Corporate Services,Payments to Contractors,19-Dec-22,5105849464,NSL Ltd,"£316,069.57"
Manchester City Council,Corporate Services,Payments to Contractors,19-Dec-22,5105849462,NSL Ltd,"£71,862.78"
Manchester City Council,Corporate Services,Payments to Contractors,19-Dec-22,5105849463,NSL Ltd,"£57,296.47"
Manchester City Council,Corporate Services,Payments to Contractors,19-Dec-22,5105849465,NSL Ltd,"£33,661.98"
Manchester City Council,Corporate Services,Cash Collection,20-Dec-22,5105849799,NSL Ltd,"£5,757.39"
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,21-Dec-22,5105849999,NSL Ltd,"£4,022.80"
Manchester City Council,Adult Social Care,Equipment,31-Dec-22,5105847906,Sarabec Limited,£898.70
Manchester City Council,Childrens & Education Services,Electricity,15-Dec-22,1907963821,Total Gas & Power,£502.70
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963110,Scottish & Southern Energy Plc,"£8,051.51"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963324,Scottish & Southern Energy Plc,"£4,514.42"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963225,Scottish & Southern Energy Plc,"£3,871.33"
Manchester City Council,Childrens & Education Services,Electricity,15-Dec-22,1907963179,Scottish & Southern Energy Plc,"£3,578.94"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963183,Scottish & Southern Energy Plc,"£3,434.78"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963299,Scottish & Southern Energy Plc,"£3,380.49"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963395,Scottish & Southern Energy Plc,"£3,351.31"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963182,Scottish & Southern Energy Plc,"£3,069.26"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963329,Scottish & Southern Energy Plc,"£3,066.34"
Manchester City Council,Highways Services,Electricity,15-Dec-22,1907963418,Scottish & Southern Energy Plc,"£2,567.65"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963515,Scottish & Southern Energy Plc,"£2,490.20"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963135,Scottish & Southern Energy Plc,"£2,253.36"
Manchester City Council,Highways Services,Electricity,15-Dec-22,1907963378,Scottish & Southern Energy Plc,"£2,237.08"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963317,Scottish & Southern Energy Plc,"£2,201.81"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963111,Scottish & Southern Energy Plc,"£2,197.03"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963205,Scottish & Southern Energy Plc,"£2,139.59"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963117,Scottish & Southern Energy Plc,"£2,095.25"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963518,Scottish & Southern Energy Plc,"£2,079.89"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963184,Scottish & Southern Energy Plc,"£2,063.89"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963254,Scottish & Southern Energy Plc,"£2,028.70"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963153,Scottish & Southern Energy Plc,"£1,971.14"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963401,Scottish & Southern Energy Plc,"£1,919.89"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963122,Scottish & Southern Energy Plc,"£1,893.66"
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963177,Scottish & Southern Energy Plc,"£1,875.76"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963180,Scottish & Southern Energy Plc,"£1,822.22"
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963002,Scottish & Southern Energy Plc,"£1,749.92"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963041,Scottish & Southern Energy Plc,"£1,745.12"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963520,Scottish & Southern Energy Plc,"£1,743.72"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963318,Scottish & Southern Energy Plc,"£1,716.65"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963093,Scottish & Southern Energy Plc,"£1,676.98"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963255,Scottish & Southern Energy Plc,"£1,593.49"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963168,Scottish & Southern Energy Plc,"£1,569.12"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963136,Scottish & Southern Energy Plc,"£1,477.97"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963517,Scottish & Southern Energy Plc,"£1,472.29"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963284,Scottish & Southern Energy Plc,"£1,460.97"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963129,Scottish & Southern Energy Plc,"£1,452.99"
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963065,Scottish & Southern Energy Plc,"£1,443.99"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963181,Scottish & Southern Energy Plc,"£1,435.05"
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963282,Scottish & Southern Energy Plc,"£1,427.73"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963336,Scottish & Southern Energy Plc,"£1,420.53"
Manchester City Council,Hospitality + Trading Services,Electricity,15-Dec-22,1907963204,Scottish & Southern Energy Plc,"£1,417.09"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963114,Scottish & Southern Energy Plc,"£1,405.73"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962822,Scottish & Southern Energy Plc,"£1,380.70"
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907962829,Scottish & Southern Energy Plc,"£1,334.37"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963267,Scottish & Southern Energy Plc,"£1,326.99"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963277,Scottish & Southern Energy Plc,"£1,283.32"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963322,Scottish & Southern Energy Plc,"£1,268.45"
Manchester City Council,Highways Services,Electricity,15-Dec-22,1907963377,Scottish & Southern Energy Plc,"£1,250.03"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962809,Scottish & Southern Energy Plc,"£1,232.95"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962884,Scottish & Southern Energy Plc,"£1,194.98"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963516,Scottish & Southern Energy Plc,"£1,177.39"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963193,Scottish & Southern Energy Plc,"£1,165.36"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963220,Scottish & Southern Energy Plc,"£1,164.25"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963285,Scottish & Southern Energy Plc,"£1,158.09"
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963243,Scottish & Southern Energy Plc,"£1,149.01"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963125,Scottish & Southern Energy Plc,"£1,146.43"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963275,Scottish & Southern Energy Plc,"£1,143.47"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963444,Scottish & Southern Energy Plc,"£1,092.37"
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907962764,Scottish & Southern Energy Plc,"£1,067.59"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963047,Scottish & Southern Energy Plc,"£1,063.32"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962763,Scottish & Southern Energy Plc,"£1,058.71"
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963283,Scottish & Southern Energy Plc,"£1,056.49"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963268,Scottish & Southern Energy Plc,"£1,054.96"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963192,Scottish & Southern Energy Plc,"£1,045.50"
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963076,Scottish & Southern Energy Plc,"£1,031.34"
Manchester City Council,Highways Services,Electricity,15-Dec-22,1907963387,Scottish & Southern Energy Plc,"£1,027.68"
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963278,Scottish & Southern Energy Plc,"£1,021.21"
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963189,Scottish & Southern Energy Plc,"£1,000.24"
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963083,Scottish & Southern Energy Plc,£981.52
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963213,Scottish & Southern Energy Plc,£972.72
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963219,Scottish & Southern Energy Plc,£963.45
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963434,Scottish & Southern Energy Plc,£958.01
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963244,Scottish & Southern Energy Plc,£955.56
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963306,Scottish & Southern Energy Plc,£937.11
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962841,Scottish & Southern Energy Plc,£928.25
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963236,Scottish & Southern Energy Plc,£923.89
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963264,Scottish & Southern Energy Plc,£916.22
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963276,Scottish & Southern Energy Plc,£914.05
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963101,Scottish & Southern Energy Plc,£903.79
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963300,Scottish & Southern Energy Plc,£890.95
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963430,Scottish & Southern Energy Plc,£882.89
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963126,Scottish & Southern Energy Plc,£878.11
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963221,Scottish & Southern Energy Plc,£877.23
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963445,Scottish & Southern Energy Plc,£874.89
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962908,Scottish & Southern Energy Plc,£844.38
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963084,Scottish & Southern Energy Plc,£839.66
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963000,Scottish & Southern Energy Plc,£834.03
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963350,Scottish & Southern Energy Plc,£833.52
Manchester City Council,Highways Services,Electricity,15-Dec-22,1907963388,Scottish & Southern Energy Plc,£824.90
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963446,Scottish & Southern Energy Plc,£824.55
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963437,Scottish & Southern Energy Plc,£797.52
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963214,Scottish & Southern Energy Plc,£783.09
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963077,Scottish & Southern Energy Plc,£776.39
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963435,Scottish & Southern Energy Plc,£771.63
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963089,Scottish & Southern Energy Plc,£757.79
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963079,Scottish & Southern Energy Plc,£756.91
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962821,Scottish & Southern Energy Plc,£753.75
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963265,Scottish & Southern Energy Plc,£739.58
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963397,Scottish & Southern Energy Plc,£734.82
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963048,Scottish & Southern Energy Plc,£728.83
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963040,Scottish & Southern Energy Plc,£716.82
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963073,Scottish & Southern Energy Plc,£710.82
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963060,Scottish & Southern Energy Plc,£702.43
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963286,Scottish & Southern Energy Plc,£698.42
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963237,Scottish & Southern Energy Plc,£698.11
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963301,Scottish & Southern Energy Plc,£696.03
Manchester City Council,Hospitality + Trading Services,Electricity,15-Dec-22,1907963344,Scottish & Southern Energy Plc,£692.69
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963431,Scottish & Southern Energy Plc,£689.88
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963222,Scottish & Southern Energy Plc,£685.54
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963164,Scottish & Southern Energy Plc,£683.14
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963085,Scottish & Southern Energy Plc,£680.38
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963432,Scottish & Southern Energy Plc,£673.00
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963197,Scottish & Southern Energy Plc,£664.71
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963196,Scottish & Southern Energy Plc,£664.04
Manchester City Council,Childrens & Education Services,Electricity,15-Dec-22,1907963206,Scottish & Southern Energy Plc,£653.49
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963001,Scottish & Southern Energy Plc,£652.15
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963353,Scottish & Southern Energy Plc,£650.66
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963112,Scottish & Southern Energy Plc,£650.15
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963440,Scottish & Southern Energy Plc,£649.24
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963438,Scottish & Southern Energy Plc,£648.42
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963447,Scottish & Southern Energy Plc,£644.93
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963307,Scottish & Southern Energy Plc,£641.72
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907962743,Scottish & Southern Energy Plc,£638.07
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907962901,Scottish & Southern Energy Plc,£637.42
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907962796,Scottish & Southern Energy Plc,£637.14
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963325,Scottish & Southern Energy Plc,£636.24
Manchester City Council,Chief Executives,Electricity,15-Dec-22,1907963113,Scottish & Southern Energy Plc,£633.51
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963132,Scottish & Southern Energy Plc,£633.03
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963269,Scottish & Southern Energy Plc,£625.17
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962888,Scottish & Southern Energy Plc,£622.34
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963090,Scottish & Southern Energy Plc,£616.63
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963200,Scottish & Southern Energy Plc,£615.02
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963160,Scottish & Southern Energy Plc,£613.99
Manchester City Council,Housing Revenue Account,Electricity,15-Dec-22,1907963262,Scottish & Southern Energy Plc,£613.54
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963238,Scottish & Southern Energy Plc,£610.37
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963373,Scottish & Southern Energy Plc,£604.79
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963231,Scottish & Southern Energy Plc,£598.65
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963094,Scottish & Southern Energy Plc,£597.17
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963022,Scottish & Southern Energy Plc,£595.05
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963358,Scottish & Southern Energy Plc,£593.42
Manchester City Council,Childrens & Education Services,Electricity,15-Dec-22,1907963038,Scottish & Southern Energy Plc,£593.34
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963080,Scottish & Southern Energy Plc,£592.96
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963367,Scottish & Southern Energy Plc,£590.59
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963389,Scottish & Southern Energy Plc,£585.25
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963217,Scottish & Southern Energy Plc,£576.95
Manchester City Council,Hospitality + Trading Services,Electricity,15-Dec-22,1907963340,Scottish & Southern Energy Plc,£576.26
Manchester City Council,Childrens & Education Services,Electricity,15-Dec-22,1907963310,Scottish & Southern Energy Plc,£564.83
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963360,Scottish & Southern Energy Plc,£563.23
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962906,Scottish & Southern Energy Plc,£556.42
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963398,Scottish & Southern Energy Plc,£552.83
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963368,Scottish & Southern Energy Plc,£550.81
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963287,Scottish & Southern Energy Plc,£547.86
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963227,Scottish & Southern Energy Plc,£544.94
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963058,Scottish & Southern Energy Plc,£544.29
Manchester City Council,Childrens & Education Services,Electricity,15-Dec-22,1907963258,Scottish & Southern Energy Plc,£544.01
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963096,Scottish & Southern Energy Plc,£540.08
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963165,Scottish & Southern Energy Plc,£536.71
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963309,Scottish & Southern Energy Plc,£533.14
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962983,Scottish & Southern Energy Plc,£531.88
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963308,Scottish & Southern Energy Plc,£529.02
Manchester City Council,Childrens & Education Services,Electricity,15-Dec-22,1907963211,Scottish & Southern Energy Plc,£524.31
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962980,Scottish & Southern Energy Plc,£517.88
Manchester City Council,Childrens & Education Services,Electricity,15-Dec-22,1907963207,Scottish & Southern Energy Plc,£513.45
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963201,Scottish & Southern Energy Plc,£511.60
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963334,Scottish & Southern Energy Plc,£511.20
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963441,Scottish & Southern Energy Plc,£510.40
Manchester City Council,Highways Services,Electricity,15-Dec-22,1907963115,Scottish & Southern Energy Plc,£508.19
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963326,Scottish & Southern Energy Plc,£504.40
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963149,Scottish & Southern Energy Plc,£503.58
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907963123,Scottish & Southern Energy Plc,£502.95
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962898,Scottish & Southern Energy Plc,£502.79
Manchester City Council,Manchester Leisure,Electricity,15-Dec-22,1907962982,Scottish & Southern Energy Plc,£502.79
Manchester City Council,Adult Social Care,Electricity,15-Dec-22,1907963005,Scottish & Southern Energy Plc,£502.37
Manchester City Council,Regeneration Finance,Electricity,15-Dec-22,1907963323,Scottish & Southern Energy Plc,£501.93
